trade_id,system_id,entry_datetime,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,gross_pips,spread_at_entry,net_pips,pnl_usd,spread_cost_usd,signal_candle_datetime,signal_candle_body_pips,signal_candle_range_pips,mfe_pips,mae_pips,time_to_mfe_minutes,trade_duration_minutes,position_units,hour_utc,day_of_week,session_range_at_entry,compression_range_pips,three_candle_total_pips,equity_after,drawdown_usd,drawdown_pct
3837,2,2025-06-06 02:04:00+00:00,2025-06-06 02:05:00+00:00,short,143.764,143.734,143.81400000000002,143.734,TP hit,3.0000000000001137,1.999999999998181,1.0000000000019327,6.955844300394623,13.911688600749708,2025-06-06 02:03:00+00:00,4.400000000001114,4.699999999999704,3.0000000000001137,0.0,1.0,1.0,100000,2,Friday,,,10.200000000000387,51683.37744246362,48269.231539195345,48.29211766553549
3838,2,2025-06-06 02:22:00+00:00,2025-06-06 02:39:00+00:00,short,143.842,143.89200000000002,143.89200000000002,143.812,SL hit,-5.000000000001137,2.000000000001023,-7.00000000000216,-48.664506889518776,13.904144825579616,2025-06-06 02:21:00+00:00,0.8000000000009777,1.8000000000000682,1.6000000000019554,5.599999999998317,10.0,17.0,100000,2,Friday,,,5.89999999999975,51634.712935574105,48317.89604608486,48.34080524596518
3839,2,2025-06-09 00:02:00+00:00,2025-06-09 00:03:00+00:00,long,144.651,144.601,144.601,144.681,SL hit,-5.000000000001137,1.8000000000000682,-6.800000000001205,-47.00969920706531,12.44374390775085,2025-06-09 00:01:00+00:00,2.5000000000005684,4.100000000002524,0.0,6.30000000000166,,1.0,100000,0,Monday,,,4.400000000001114,51587.70323636704,48364.90574529193,48.38783723411038
3840,2,2025-06-09 00:16:00+00:00,2025-06-09 00:18:00+00:00,short,144.708,144.758,144.758,144.678,SL hit,-5.000000000001137,1.5999999999991132,-6.60000000000025,-45.60908864748494,11.056748763020105,2025-06-09 00:15:00+00:00,4.300000000000637,5.60000000000116,0.0,6.200000000001182,,2.0,100000,0,Monday,,,5.300000000002569,51542.09414771955,48410.514833939415,48.43346794761767
3841,2,2025-06-09 00:28:00+00:00,2025-06-09 00:31:00+00:00,short,144.812,144.782,144.86200000000002,144.782,TP hit,3.0000000000001137,1.8000000000000682,1.2000000000000455,8.286606082369177,12.429909123553767,2025-06-09 00:27:00+00:00,0.20000000000095497,2.199999999999136,3.2000000000010687,1.2999999999976808,3.0,3.0,100000,0,Monday,,,4.300000000000637,51550.380753801925,48402.22822785704,48.42517741256631
3842,2,2025-06-09 00:41:00+00:00,2025-06-09 00:44:00+00:00,short,144.723,144.77300000000002,144.77300000000002,144.693,SL hit,-5.000000000001137,1.8999999999977035,-6.89999999999884,-47.677286955071686,13.1285282919626,2025-06-09 00:40:00+00:00,2.5999999999982037,3.0000000000001137,0.0,6.499999999999773,,3.0,100000,0,Monday,,,4.899999999997817,51502.703466846855,48449.90551481211,48.47287730498614
3843,2,2025-06-09 00:51:00+00:00,2025-06-09 00:52:00+00:00,short,144.824,144.87400000000002,144.87400000000002,144.794,SL hit,-5.000000000001137,1.9000000000005457,-6.900000000001683,-47.644036899972946,13.119372479703264,2025-06-09 00:50:00+00:00,0.09999999999763531,2.4999999999977263,0.0,8.399999999997476,,1.0,100000,0,Monday,,,4.499999999995907,51455.05942994688,48497.54955171209,48.52054393158588
3844,2,2025-06-09 01:03:00+00:00,2025-06-09 01:10:00+00:00,long,144.878,144.82799999999997,144.82799999999997,144.908,SL hit,-5.000000000001137,1.4999999999986358,-6.499999999999773,-44.8653349714917,10.35353883956595,2025-06-09 01:02:00+00:00,0.699999999997658,2.9999999999972715,0.0,5.599999999998317,,7.0,100000,1,Monday,,,6.299999999998818,51410.194094975384,48542.41488668358,48.56543053877761
3845,2,2025-06-09 02:00:00+00:00,2025-06-09 02:01:00+00:00,short,144.546,144.516,144.596,144.516,TP hit,3.0000000000001137,1.8000000000000682,1.2000000000000455,8.301855464696676,12.452783197045012,2025-06-09 01:59:00+00:00,2.5999999999982037,3.100000000000591,8.799999999999386,0.0,1.0,1.0,100000,2,Monday,,,4.2999999999977945,51418.49595044008,48534.11303121888,48.55712474711367
3846,2,2025-06-09 02:17:00+00:00,2025-06-09 02:20:00+00:00,short,144.47,144.44,144.52,144.44,TP hit,3.0000000000001137,1.6999999999995907,1.300000000000523,8.998407973977455,11.767148889039875,2025-06-09 02:16:00+00:00,1.9000000000005457,2.5000000000005684,7.900000000000773,0.9999999999990905,3.0,3.0,100000,2,Monday,,,7.200000000000273,51427.494358414064,48525.1146232449,48.54812207268059
