trade_id,entry_datetime,exit_datetime,equity_after
796,2024-03-15 04:33:00+00:00,2024-03-15 05:37:00+00:00,47375.81361756719
798,2024-03-15 06:06:00+00:00,2024-03-15 06:51:00+00:00,47198.034816765874
799,2024-03-15 06:09:00+00:00,2024-03-15 06:51:00+00:00,47020.256191025524
800,2024-03-19 01:00:00+00:00,2024-03-19 01:11:00+00:00,46785.312842176805
801,2024-03-19 01:03:00+00:00,2024-03-19 01:11:00+00:00,46550.369192605314
802,2024-03-19 01:11:00+00:00,2024-03-19 01:22:00+00:00,46317.77327419802
803,2024-03-19 01:14:00+00:00,2024-03-19 01:23:00+00:00,46085.17782085841
805,2024-03-22 01:28:00+00:00,2024-03-22 01:33:00+00:00,45912.472781531455
804,2024-03-22 01:25:00+00:00,2024-03-22 01:34:00+00:00,45739.767375782256
806,2024-03-22 06:12:00+00:00,2024-03-22 06:32:00+00:00,45568.13051784157
807,2024-03-22 06:15:00+00:00,2024-03-22 06:49:00+00:00,45396.49368078972
808,2024-03-25 00:01:00+00:00,2024-03-25 00:22:00+00:00,45445.01829037783
809,2024-03-25 00:05:00+00:00,2024-03-25 00:22:00+00:00,45493.483714016234
811,2024-03-25 00:50:00+00:00,2024-03-25 00:53:00+00:00,45569.96662560187
810,2024-03-25 00:47:00+00:00,2024-03-25 00:55:00+00:00,45628.10259466758
812,2024-03-25 01:00:00+00:00,2024-03-25 01:07:00+00:00,45399.81180988536
813,2024-03-25 01:03:00+00:00,2024-03-25 01:15:00+00:00,45171.52046317782
814,2024-03-25 01:07:00+00:00,2024-03-25 01:15:00+00:00,44944.371807331394
815,2024-03-25 04:45:00+00:00,2024-03-25 05:49:00+00:00,44978.54153435129
816,2024-03-25 04:49:00+00:00,2024-03-25 05:49:00+00:00,45017.23591030853
818,2024-03-26 00:17:00+00:00,2024-03-26 00:53:00+00:00,45174.869083705395
817,2024-03-26 00:14:00+00:00,2024-03-26 00:54:00+00:00,45332.502088308065
819,2024-03-26 01:00:00+00:00,2024-03-26 01:42:00+00:00,45491.09213539787
820,2024-03-26 01:03:00+00:00,2024-03-26 01:42:00+00:00,45649.68232227259
822,2024-03-26 03:36:00+00:00,2024-03-26 04:30:00+00:00,45709.50771379679
823,2024-03-26 04:43:00+00:00,2024-03-26 05:57:00+00:00,45731.95403476385
821,2024-03-26 03:33:00+00:00,2024-03-26 06:34:00+00:00,45801.05316261913
824,2024-03-26 05:58:00+00:00,2024-03-26 06:34:00+00:00,45876.80977689657
825,2024-03-27 01:14:00+00:00,2024-03-27 01:20:00+00:00,46037.304269726345
826,2024-03-27 01:17:00+00:00,2024-03-27 01:20:00+00:00,45808.07204810656
827,2024-03-28 01:00:00+00:00,2024-03-28 01:23:00+00:00,45579.183247331915
828,2024-03-28 01:03:00+00:00,2024-03-28 01:25:00+00:00,45350.29438093009
829,2024-03-28 02:14:00+00:00,2024-03-28 02:47:00+00:00,45439.53713992036
830,2024-03-28 02:17:00+00:00,2024-03-28 02:47:00+00:00,45496.9183460218
832,2024-03-28 05:13:00+00:00,2024-03-28 05:36:00+00:00,45269.28382778572
831,2024-03-28 05:10:00+00:00,2024-03-28 05:49:00+00:00,45041.64904259461
834,2024-03-28 05:49:00+00:00,2024-03-28 05:56:00+00:00,45199.22179473448
833,2024-03-28 05:36:00+00:00,2024-03-28 05:58:00+00:00,45357.59079127643
835,2024-03-29 00:54:00+00:00,2024-03-29 00:59:00+00:00,45382.89735694787
836,2024-03-29 00:57:00+00:00,2024-03-29 00:59:00+00:00,45398.92557815494
