trade_id,entry_datetime,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,pnl_usd,usd,position_units,entry_level_name,entry_level_tier,entry_level_price,zone_distance_at_entry_pips,confirmation_signals_present,confluence_count,ib_classification,session_phase_at_entry,rsi_at_entry,vwap_at_entry,mfe_pips,mae_pips,time_to_mfe_minutes,trade_duration_minutes,day_of_week,hour_utc,duration_min,is_win,month,dow,equity_after,drawdown_usd,drawdown_pct
410,2025-11-25 00:23:00+00:00,2025-11-25 00:54:00+00:00,short,156.92215014473624,156.85215014473624,157.02215014473623,156.85215014473624,TP_Hit_7,6.999999999999318,213.14875166930383,213.14875166930383,477612,PTS_High,1,156.936,0.0,"B,C",2,unknown,IB_Formation_PTS,52.298850574711466,156.87755555555557,9.306530363625143,7.205040347341196,31.0,31.0,Tuesday,0,31.0,True,2025-11,Tuesday,61298.80548751364,38811.38379600249,38.76866488194031
411,2025-11-25 01:02:00+00:00,2025-11-25 01:17:00+00:00,long,156.71420187414432,156.61420187414433,156.61420187414433,156.78420187414432,SL_Hit_10,-9.999999999999432,-153.3443309266288,-153.3443309266288,240159,PTS_Mid,2,156.71699999999998,1.2999999999976808,"B,C",2,volatile,Morning_Active,31.140939597315153,156.88243386243388,2.454539286804902,11.461444971712353,3.0,15.0,Tuesday,1,15.0,False,2025-11,Tuesday,61145.46115658701,38964.72812692912,38.9218404298282
412,2025-11-25 06:21:00+00:00,2025-11-25 07:00:00+00:00,long,156.75320566464387,156.65320566464388,156.65320566464388,156.82320566464387,SL_Hit_10,-9.999999999999432,-152.96080216382535,-152.96080216382535,239618,PTS_Mid,2,156.71699999999998,2.7000000000015234,"A,C",2,volatile,Afternoon_Active,56.834532374097385,156.7473132635253,0.8694100710187058,11.157367728526424,7.0,39.0,Tuesday,6,39.0,False,2025-11,Tuesday,60992.50035442318,39117.68892909295,39.07463287109573
413,2025-11-25 06:24:00+00:00,2025-11-25 07:00:00+00:00,long,156.7551557892239,156.6551557892239,156.6551557892239,156.82515578922388,SL_Hit_10,-9.999999999999432,-152.96081306279586,-152.96081306279586,239621,PTS_Mid,2,156.71699999999998,2.9000000000024784,"A,C",2,volatile,Afternoon_Active,56.834532374097385,156.74737142857143,0.6743976130167084,11.352380186528421,4.0,36.0,Tuesday,6,36.0,False,2025-11,Tuesday,60839.539541360384,39270.64974215574,39.22742532325023
414,2025-11-25 07:34:00+00:00,2025-11-25 07:42:00+00:00,long,156.53930874698472,156.58930874698473,156.4593087469847,156.58930874698473,TP_Hit_5_late,5.000000000001137,95.03139211149961,95.03139211149961,297618,PTS_Low,1,156.498,3.2000000000010687,"B,C,D",3,volatile,Late_Session,25.536992840097952,156.73512673992673,5.865969447145858,2.058631970970737,8.0,8.0,Tuesday,7,8.0,True,2025-11,Tuesday,60934.570933471885,39175.61835004424,39.132498530291755
415,2025-11-26 01:13:00+00:00,2025-11-26 01:30:00+00:00,short,156.33326696524435,156.26326696524436,156.43326696524434,156.26326696524436,TP_Hit_7,6.999999999999318,160.0245565425131,160.0245565425131,357228,IB_High,1,156.349,0.49999999999954525,C,1,wide,Morning_Active,59.99999999999925,156.20496396396396,10.786646844300662,5.021601043281976,17.0,17.0,Wednesday,1,17.0,True,2025-11,Wednesday,61094.5954900144,39015.59379350173,38.97265010957874
416,2025-11-26 01:16:00+00:00,2025-11-26 01:30:00+00:00,short,156.31529446367026,156.24529446367026,156.41529446367025,156.24529446367026,TP_Hit_7,6.999999999999318,160.02459520988145,160.02459520988145,357187,IB_High,1,156.349,2.2999999999996135,"A,B,C",3,wide,Morning_Active,64.10861865407333,156.2097878787879,8.989396686891382,6.818851200691256,14.0,14.0,Wednesday,1,14.0,True,2025-11,Wednesday,61254.620085224284,38855.56919829184,38.81280165024091
417,2025-11-26 01:32:00+00:00,2025-11-26 01:34:00+00:00,long,156.1003434410433,156.0003434410433,156.0003434410433,156.1703434410433,SL_Hit_10,-9.999999999999432,-229.85205807286752,-229.85205807286752,358570,IB_Low,1,156.095,0.49999999999954525,C,1,wide,Morning_Active,60.177975528364435,156.22805017921146,2.7341889026587296,13.562934538296645,1.0,2.0,Wednesday,1,2.0,False,2025-11,Wednesday,61024.76802715142,39085.42125636471,39.04240071474963
418,2025-11-27 00:06:00+00:00,2025-11-27 00:53:00+00:00,long,156.11434271316512,156.01434271316512,156.01434271316512,156.1843427131651,SL_Hit_10,-9.999999999999432,-305.3193646918318,-305.3193646918318,476342,PTS_Mid,2,156.0735,2.8500000000008185,"B,C",2,unknown,IB_Formation_PTS,20.631067961165257,156.14366666666666,4.091734922855039,13.256699358839796,14.0,47.0,Thursday,0,47.0,False,2025-11,Thursday,60719.44866245959,39390.74062105654,39.347384020521986
419,2025-11-27 00:28:00+00:00,2025-11-27 00:53:00+00:00,long,156.10105484268914,156.00105484268914,156.00105484268914,156.17105484268913,SL_Hit_10,-9.999999999999432,-305.3190893358208,-305.3190893358208,476301,PTS_Mid,2,156.0735,1.449999999999818,"B,C",2,unknown,IB_Formation_PTS,17.81970649895331,156.13394252873564,0.6987998345465485,11.92791231124204,11.0,25.0,Thursday,0,25.0,False,2025-11,Thursday,60414.12957312377,39696.05971039236,39.65236705124141
