trade_id,setup_type,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,pnl_pips,pnl_usd,exit_reason,asian_range_pips,lor_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,trade_sequence_number,is_reentry,entry_hour_utc
29,D,2025-10-21,Tuesday,short,2025-10-21 07:26:00+00:00,2025-10-21 08:17:00+00:00,151.07554646730512,151.2755464673051,151.2755464673051,150.87554646730513,150.6755464673051,20.0,-19.999999999998863,-956.2682361967661,SL_FULL,,14.000000000001478,19.645353269487487,1.354646730510467,723300,51,1,False,7
30,D,2025-10-23,Thursday,short,2025-10-23 07:17:00+00:00,2025-10-23 10:44:00+00:00,152.4998127766939,152.678,152.678,152.32162555338778,152.14343833008166,17.81872233061108,-17.81872233061108,-946.850851257206,SL_FULL,,10.599999999999454,18.81872233061017,12.081277669389578,811300,207,1,False,7
31,D,2025-10-28,Tuesday,short,2025-10-28 08:20:00+00:00,2025-10-28 12:00:00+00:00,151.9790645181668,152.0439754423665,152.1790645181668,151.77906451816682,151.5790645181668,20.0,-6.491092419969391,-304.4381068840676,HARD_CLOSE,,12.20000000000141,10.593548183319967,15.5064518166796,713100,220,1,False,8
32,D,2025-11-04,Tuesday,short,2025-11-04 08:16:00+00:00,2025-11-04 08:30:00+00:00,153.4129603783082,153.6129603783082,153.6129603783082,153.21296037830822,153.0129603783082,20.0,-19.999999999998863,-934.1659691121713,SL_FULL,,13.2000000000005,19.903962169178158,2.596037830821274,717500,14,1,False,8
33,D,2025-11-04,Tuesday,short,2025-11-04 09:53:00+00:00,2025-11-04 10:58:00+00:00,153.4068825915742,153.6068825915742,153.6068825915742,153.2068825915742,153.0068825915742,20.0,-19.999999999998863,-924.8283514594569,SL_FULL,,13.2000000000005,19.611740842580616,8.888259157419043,710300,65,2,True,9
34,D,2025-11-05,Wednesday,short,2025-11-05 08:51:00+00:00,2025-11-05 09:42:00+00:00,153.4531507054714,153.65315070547138,153.65315070547138,153.2531507054714,153.05315070547138,20.0,-19.999999999998863,-915.6987627913437,SL_FULL,,15.399999999999636,19.284929452859956,3.3150705471399533,703500,51,1,False,8
35,A,2025-11-06,Thursday,short,2025-11-06 08:27:00+00:00,2025-11-06 13:00:00+00:00,153.68219775400064,153.62075331841723,154.08219775400065,153.28219775400063,152.88219775400063,40.0,6.144443558341095,139.47122524210877,HARD_CLOSE,36.7999999999995,16.800000000000637,9.480224599934672,15.119775400063418,348700,273,1,False,8
36,D,2025-11-06,Thursday,short,2025-11-06 08:28:00+00:00,2025-11-06 13:00:00+00:00,153.66321082019564,153.62075331841723,153.86321082019563,153.46321082019566,153.26321082019564,20.0,4.245750177841501,192.74649486253213,HARD_CLOSE,36.7999999999995,16.800000000000637,11.378917980434267,13.221082019563823,697400,272,2,False,8
37,D,2025-11-13,Thursday,short,2025-11-13 08:33:00+00:00,2025-11-13 10:31:00+00:00,154.61325252047573,154.60325252047573,154.60325252047573,154.42050504095144,154.22775756142715,19.274747952428584,10.137373976213837,479.7265092381023,BE_STOP,39.400000000000546,10.80000000000041,7.774747952427674,29.025252047571826,730800,118,1,False,8
38,A,2025-11-13,Thursday,short,2025-11-13 08:58:00+00:00,2025-11-13 13:00:00+00:00,154.54708487977652,154.62175331841723,154.94708487977653,154.14708487977651,153.7470848797765,40.0,-7.466843864071393,-169.98442869422993,HARD_CLOSE,39.400000000000546,10.80000000000041,21.891512022347115,22.408487977651248,352000,242,2,False,8
39,A,2025-11-19,Wednesday,long,2025-11-19 08:30:00+00:00,2025-11-19 13:00:00+00:00,155.67076778126523,156.23824668158278,155.68076778126522,156.07076778126523,156.47076778126524,40.0,48.37629923151356,1101.8480980360137,TP1_PARTIAL,36.69999999999902,5.299999999999727,11.376778126523845,62.52322187347659,355700,270,1,False,8
