trade_id,setup_type,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,risk_pct,pnl_pips,pnl_usd,exit_reason,asian_range_pips,lor_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,trade_sequence_number,is_reentry,margin_used_pct,entry_hour_utc
40,D,2025-11-11,Tuesday,long,2025-11-11 08:19:00+00:00,2025-11-11 13:00:00+00:00,154.31495989586148,154.18524668158278,154.139,154.49091979172294,154.6668796875844,17.595989586146743,0.0075,-12.971321427869498,-595.9639003905003,HARD_CLOSE,40.99999999999966,9.299999999998931,14.295989586148039,12.804010413853462,708400,281,1,False,30.75521030012788,8
41,D,2025-11-12,Wednesday,long,2025-11-12 09:12:00+00:00,2025-11-12 13:00:00+00:00,154.8003856283371,154.79524668158277,154.6003856283371,155.00038562833709,155.2003856283371,20.0,0.0075,-0.5138946754328799,-20.63941410124924,HARD_CLOSE,,12.999999999999545,9.438562833710762,10.961437166290011,621700,228,1,False,27.22667938747705,9
42,A,2025-11-13,Thursday,short,2025-11-13 08:58:00+00:00,2025-11-13 13:00:00+00:00,154.54708487977652,154.62175331841723,154.94708487977653,154.14708487977651,153.7470848797765,40.0,0.02,-7.466843864071393,-399.60828052407743,HARD_CLOSE,39.400000000000546,10.80000000000041,21.891512022347115,22.408487977651248,827500,242,1,False,36.18714185518149,8
43,D,2025-11-18,Tuesday,long,2025-11-18 08:35:00+00:00,2025-11-18 12:58:00+00:00,155.158743786282,155.168743786282,155.168743786282,155.358743786282,155.558743786282,20.0,0.0075,10.498469469952255,419.4665789463981,BE_STOP,56.60000000000025,17.199999999999704,7.474378628199929,28.32562137180048,620700,263,1,False,27.35312990719356,8
44,D,2025-11-19,Wednesday,long,2025-11-19 08:21:00+00:00,2025-11-19 09:47:00+00:00,155.59891228691615,155.89473686074845,155.60891228691614,155.7468245738323,155.89473686074845,14.791228691615288,0.0075,22.186843037422932,1202.9795027042987,TP2_FULL,36.69999999999902,5.299999999999727,4.191228691615834,34.50877130838421,845000,86,1,False,37.19702481203196,8
45,A,2025-11-25,Tuesday,short,2025-11-25 09:01:00+00:00,2025-11-25 13:00:00+00:00,156.42456812532612,156.31175331841723,156.82456812532612,156.0245681253261,155.6245681253261,40.0,0.02,11.281480690888657,611.377077562714,HARD_CLOSE,45.79999999999984,13.399999999998613,9.743187467387315,28.056812532611275,847100,239,1,False,37.07099347908538,9
46,D,2025-11-26,Wednesday,long,2025-11-26 08:57:00+00:00,2025-11-26 13:00:00+00:00,156.50190756830335,156.46824668158277,156.30190756830336,156.70190756830334,156.90190756830336,20.0,0.0075,-3.366088672058254,-137.51057641479233,HARD_CLOSE,,11.999999999997613,17.590756830335863,8.809243169665137,639200,243,1,False,27.82957291369198,8
47,D,2025-11-27,Thursday,long,2025-11-27 08:21:00+00:00,2025-11-27 13:00:00+00:00,156.26691228691615,156.36624668158277,156.06691228691616,156.46691228691614,156.66691228691616,20.0,0.0075,9.933439466661298,404.98303146534784,HARD_CLOSE,58.19999999999936,13.399999999998613,12.491228691615675,13.708771308384371,637500,279,1,False,27.748912246502094,8
48,D,2025-12-02,Tuesday,long,2025-12-02 08:21:00+00:00,2025-12-02 11:35:00+00:00,155.88691228691613,155.89691228691612,155.89691228691612,156.03782457383227,156.1887368607484,15.091228691613878,0.0075,8.044781432418873,436.14187611332864,BE_STOP,37.79999999999859,7.800000000000296,2.8912286916124685,19.908771308388395,845900,194,1,False,36.594322303242485,8
49,A,2025-12-04,Thursday,short,2025-12-04 08:11:00+00:00,2025-12-04 13:00:00+00:00,154.89081177782597,154.6817533184172,155.29081177782598,154.49081177782597,154.09081177782596,40.0,0.02,20.90584594087659,1147.4568152371032,HARD_CLOSE,52.00000000000102,,16.718822217401907,38.18117778259875,849000,289,1,False,36.34855773585506,8
51,D,2025-12-09,Tuesday,long,2025-12-09 08:25:00+00:00,2025-12-09 09:14:00+00:00,156.3388330369719,156.154,156.154,156.5236660739438,156.70849911091568,18.483303697189513,0.0075,-18.483303697189513,-831.7569519842638,SL_FULL,45.599999999998886,10.200000000000387,18.083303697190445,9.516696302810601,702700,49,2,False,30.051676786501584,8
50,A,2025-12-09,Tuesday,long,2025-12-09 08:05:00+00:00,2025-12-09 13:00:00+00:00,156.28437484378267,156.34424668158277,155.88437484378267,156.68437484378268,157.08437484378268,40.0,0.02,5.98718378001024,331.4804599450195,HARD_CLOSE,45.599999999998886,10.200000000000387,30.637484378266322,14.962515621732564,865600,295,1,False,37.005365443675515,8
52,D,2025-12-10,Wednesday,long,2025-12-10 09:14:00+00:00,2025-12-10 13:00:00+00:00,156.74235538150558,156.7042466815828,156.551,156.93371076301116,157.12506614451675,19.135538150558773,0.0075,-3.8108699922787537,-164.7360162494579,HARD_CLOSE,37.999999999999545,11.600000000001387,6.935538150557363,14.76446184944109,677400,226,1,False,29.176230113713615,9
53,D,2025-12-31,Wednesday,long,2025-12-31 09:56:00+00:00,2025-12-31 13:00:00+00:00,156.64506684275543,156.58924668158278,156.5,156.79013368551085,156.93520052826628,14.506684275542625,0.0075,-5.582016117264743,-317.86881138054525,HARD_CLOSE,32.20000000000027,6.399999999999295,9.306684275543375,3.093315724456147,891700,184,1,False,38.43990885581675,9
54,D,2026-01-07,Wednesday,long,2026-01-07 08:38:00+00:00,2026-01-07 09:30:00+00:00,156.5807433399752,156.431,156.431,156.73048667995036,156.88023001992553,14.97433399751742,0.0075,-14.97433399751742,-824.1909577936917,SL_FULL,51.59999999999911,7.299999999997908,14.274333997519761,0.5256660024826942,861000,52,1,False,37.208646589406925,8
55,D,2026-01-08,Thursday,long,2026-01-08 08:27:00+00:00,2026-01-08 13:00:00+00:00,156.60680224599938,156.71224668158277,156.43,156.78360449199874,156.9604067379981,17.680224599936878,0.0075,10.544443558339367,487.07888844139273,HARD_CLOSE,48.70000000000232,9.999999999999432,4.280224599938265,17.71977540006162,723900,273,1,False,31.525642708201794,8
56,D,2026-01-13,Tuesday,long,2026-01-13 08:51:00+00:00,2026-01-13 09:33:00+00:00,159.0378492945286,158.84,158.84,159.2356985890572,159.4335478835858,19.7849294528595,0.0075,-19.7849294528595,-821.8393636991121,SL_FULL,,11.7999999999995,19.18492945285948,1.2150705471412948,659800,42,1,False,29.05030340063577,8
57,A,2026-01-14,Wednesday,short,2026-01-14 08:35:00+00:00,2026-01-14 13:00:00+00:00,158.93825842487465,158.5697533184172,158.92825842487466,158.53825842487464,158.13825842487464,40.0,0.02,38.42507291297077,2092.189360406116,TP1_PARTIAL,37.10000000000093,17.599999999998772,14.974157512534703,80.22584248746512,863300,265,1,False,38.27376207804971,8
58,D,2026-01-21,Wednesday,long,2026-01-21 09:57:00+00:00,2026-01-21 12:13:00+00:00,158.03105380740058,157.8310538074006,157.8310538074006,158.23105380740057,158.4310538074006,20.0,0.0075,-19.999999999998863,-831.3953232557061,SL_FULL,42.199999999999704,15.299999999999159,19.90538074005883,5.794619259941669,656100,136,1,False,28.375206393859916,9
59,D,2026-01-27,Tuesday,long,2026-01-27 08:33:00+00:00,2026-01-27 09:15:00+00:00,154.8327474795243,154.6327474795243,154.6327474795243,155.0327474795243,155.2327474795243,20.0,0.0075,-19.999999999998863,-825.1809663854606,SL_FULL,,14.900000000000091,20.07474795242956,4.725252047569484,638000,42,1,False,27.238502002315133,8
60,D,2026-01-29,Thursday,long,2026-01-29 08:36:00+00:00,2026-01-29 09:35:00+00:00,153.40874080060934,153.20874080060935,153.20874080060935,153.60874080060933,153.80874080060934,20.0,0.0075,-19.999999999998863,-819.013323549839,SL_FULL,,15.800000000001546,22.274080060932988,5.125919939067103,627400,59,1,False,26.740382629433235,8
61,D,2026-02-03,Tuesday,long,2026-02-03 08:17:00+00:00,2026-02-03 10:47:00+00:00,155.5250120554535,155.90103616636048,155.53501205545348,155.71302411090699,155.90103616636048,18.80120554534983,0.0075,28.201808318024742,1215.3836788944486,TP2_FULL,32.30000000000075,9.499999999999886,8.501205545348967,39.09879445465094,671600,150,1,False,29.238650220804193,8
62,D,2026-02-04,Wednesday,long,2026-02-04 09:32:00+00:00,2026-02-04 13:00:00+00:00,156.53581405136788,156.61824668158278,156.54581405136787,156.70662810273575,156.87744215410362,17.081405136786998,0.0075,12.661746671048759,607.9629260117243,TP1_PARTIAL,,6.89999999999884,4.18140513678793,32.2185948632125,752300,208,1,False,32.59885894137524,9
63,D,2026-02-05,Thursday,long,2026-02-05 09:21:00+00:00,2026-02-05 12:30:00+00:00,157.21419554815066,157.026,157.026,157.4023910963013,157.59058664445195,18.81955481506452,0.0075,-18.81955481506452,-826.4851044074544,SL_FULL,50.900000000001455,10.799999999997567,22.01955481506559,12.480445184934297,689600,189,1,False,29.84566971428057,9
64,D,2026-02-18,Wednesday,long,2026-02-18 08:43:00+00:00,2026-02-18 12:35:00+00:00,153.75077018635207,153.558,153.558,153.94354037270415,154.13631055905623,19.27701863520781,0.0075,-19.27701863520781,-820.376123556461,SL_FULL,,12.000000000000455,19.077018635206855,10.722981364793327,653500,232,1,False,27.869445237142042,8
65,D,2026-02-24,Tuesday,long,2026-02-24 08:23:00+00:00,2026-02-24 08:35:00+00:00,156.23186983747374,156.03186983747375,156.03186983747375,156.43186983747373,156.63186983747374,20.0,0.0075,-19.999999999998863,-814.1926398262127,SL_FULL,,19.700000000000273,21.58698374737469,5.013016252627267,635200,12,1,False,27.734417728130396,8
66,D,2026-02-25,Wednesday,long,2026-02-25 08:26:00+00:00,2026-02-25 09:20:00+00:00,156.14781687299583,156.54781687299584,156.15781687299582,156.34781687299582,156.54781687299584,20.0,0.0075,30.00158704967437,1208.0691594831696,TP2_FULL,,17.600000000001614,4.881687299584314,42.61831270041796,630100,54,1,False,27.7049733001098,8
