time,open,high,low,close
2026-02-23T14:33:00.000000000Z,154.725,154.765,154.724,154.732
2026-02-23T14:34:00.000000000Z,154.734,154.772,154.728,154.751
2026-02-23T14:35:00.000000000Z,154.750,154.761,154.703,154.704
2026-02-23T14:36:00.000000000Z,154.704,154.712,154.671,154.672
2026-02-23T14:37:00.000000000Z,154.674,154.691,154.670,154.688
2026-02-23T14:38:00.000000000Z,154.687,154.692,154.662,154.677
2026-02-23T14:39:00.000000000Z,154.678,154.688,154.661,154.665
2026-02-23T14:40:00.000000000Z,154.666,154.672,154.624,154.625
2026-02-23T14:41:00.000000000Z,154.624,154.666,154.624,154.640
2026-02-23T14:42:00.000000000Z,154.640,154.662,154.626,154.630
2026-02-23T14:43:00.000000000Z,154.630,154.658,154.625,154.652
2026-02-23T14:44:00.000000000Z,154.653,154.670,154.641,154.666
2026-02-23T14:45:00.000000000Z,154.667,154.678,154.648,154.672
2026-02-23T14:46:00.000000000Z,154.672,154.687,154.646,154.676
2026-02-23T14:47:00.000000000Z,154.674,154.676,154.637,154.652
2026-02-23T14:48:00.000000000Z,154.653,154.666,154.627,154.642
2026-02-23T14:49:00.000000000Z,154.643,154.644,154.618,154.628
2026-02-23T14:50:00.000000000Z,154.628,154.630,154.592,154.612
2026-02-23T14:51:00.000000000Z,154.612,154.614,154.568,154.581
2026-02-23T14:52:00.000000000Z,154.583,154.630,154.567,154.629
2026-02-23T14:53:00.000000000Z,154.628,154.642,154.618,154.624
2026-02-23T14:54:00.000000000Z,154.622,154.644,154.615,154.630
2026-02-23T14:55:00.000000000Z,154.630,154.641,154.619,154.620
2026-02-23T14:56:00.000000000Z,154.620,154.621,154.582,154.588
2026-02-23T14:57:00.000000000Z,154.588,154.592,154.570,154.570
2026-02-23T14:58:00.000000000Z,154.571,154.602,154.571,154.584
2026-02-23T14:59:00.000000000Z,154.583,154.586,154.546,154.551
2026-02-23T15:00:00.000000000Z,154.549,154.555,154.517,154.517
2026-02-23T15:01:00.000000000Z,154.518,154.521,154.484,154.497
2026-02-23T15:02:00.000000000Z,154.496,154.517,154.483,154.512
2026-02-23T15:03:00.000000000Z,154.510,154.546,154.502,154.534
2026-02-23T15:04:00.000000000Z,154.536,154.554,154.496,154.497
2026-02-23T15:05:00.000000000Z,154.496,154.510,154.472,154.472
2026-02-23T15:06:00.000000000Z,154.468,154.473,154.446,154.457
2026-02-23T15:07:00.000000000Z,154.456,154.474,154.450,154.462
2026-02-23T15:08:00.000000000Z,154.461,154.462,154.418,154.420
2026-02-23T15:09:00.000000000Z,154.420,154.426,154.400,154.401
2026-02-23T15:10:00.000000000Z,154.402,154.402,154.363,154.363
2026-02-23T15:11:00.000000000Z,154.364,154.391,154.363,154.368
2026-02-23T15:12:00.000000000Z,154.367,154.396,154.367,154.387
2026-02-23T15:13:00.000000000Z,154.386,154.404,154.356,154.395
2026-02-23T15:14:00.000000000Z,154.394,154.402,154.380,154.392
2026-02-23T15:15:00.000000000Z,154.394,154.409,154.388,154.406
2026-02-23T15:16:00.000000000Z,154.406,154.406,154.382,154.390
2026-02-23T15:17:00.000000000Z,154.390,154.404,154.383,154.401
2026-02-23T15:18:00.000000000Z,154.402,154.431,154.400,154.408
2026-02-23T15:19:00.000000000Z,154.409,154.430,154.398,154.429
2026-02-23T15:20:00.000000000Z,154.424,154.424,154.396,154.418
2026-02-23T15:21:00.000000000Z,154.418,154.430,154.418,154.430
2026-02-23T15:22:00.000000000Z,154.430,154.440,154.416,154.417
2026-02-23T15:23:00.000000000Z,154.416,154.421,154.404,154.420
2026-02-23T15:24:00.000000000Z,154.419,154.455,154.419,154.452
2026-02-23T15:25:00.000000000Z,154.453,154.480,154.446,154.478
2026-02-23T15:26:00.000000000Z,154.478,154.478,154.452,154.467
2026-02-23T15:27:00.000000000Z,154.466,154.468,154.452,154.454
2026-02-23T15:28:00.000000000Z,154.453,154.454,154.399,154.436
2026-02-23T15:29:00.000000000Z,154.432,154.432,154.414,154.426
2026-02-23T15:30:00.000000000Z,154.426,154.437,154.402,154.424
2026-02-23T15:31:00.000000000Z,154.424,154.486,154.410,154.476
2026-02-23T15:32:00.000000000Z,154.475,154.478,154.430,154.450
2026-02-23T15:33:00.000000000Z,154.450,154.462,154.439,154.442
2026-02-23T15:34:00.000000000Z,154.442,154.512,154.435,154.511
2026-02-23T15:35:00.000000000Z,154.512,154.522,154.498,154.504
2026-02-23T15:36:00.000000000Z,154.503,154.522,154.496,154.508
2026-02-23T15:37:00.000000000Z,154.508,154.528,154.499,154.502
2026-02-23T15:38:00.000000000Z,154.501,154.502,154.482,154.493
2026-02-23T15:39:00.000000000Z,154.494,154.504,154.485,154.498
2026-02-23T15:40:00.000000000Z,154.498,154.500,154.461,154.462
2026-02-23T15:41:00.000000000Z,154.461,154.466,154.448,154.462
2026-02-23T15:42:00.000000000Z,154.462,154.530,154.462,154.508
2026-02-23T15:43:00.000000000Z,154.508,154.513,154.480,154.488
2026-02-23T15:44:00.000000000Z,154.488,154.492,154.451,154.492
