trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
31,2025-02-11 18:30:00+00:00,2025-02-11 18:28:00+00:00,2,2025-02-11 19:43:00+00:00,short,152.4495,152.4395,152.4395,151.924,tp1_then_be_stop,3.546409905197317,31.746140804176225,3,136419,6.0928571428571034,28.0,2025-02-12,73.0,50182.48550816905,50214.231648973226,TOKYO_MEANREV,tokyo_meanrev,tokyo,151.924,152.42212800000001,152.729872,151.425872,151.118128,152.43521183513414,152.36645000000001,152.2976881648659,152.458,bearish,67.08074534161386,0.12185714285714207
33,2025-02-14 19:38:00+00:00,2025-02-14 19:35:00+00:00,3,2025-02-14 21:02:00+00:00,long,152.2635,152.27349999999998,152.27349999999998,153.39499999999998,tp1_then_be_stop,3.499999999999659,31.372993371849727,5,136532,6.0,28.0,2025-02-15,84.0,50214.231648973226,50245.604642345075,TOKYO_MEANREV,tokyo_meanrev,tokyo,153.39499999999998,154.147922,154.61307799999997,152.64207799999997,152.176922,152.3891061523158,152.31840000000003,152.24769384768425,152.232,bullish,28.506787330320122,0.07349999999999568
34,2025-02-14 19:48:00+00:00,2025-02-14 19:45:00+00:00,3,2025-02-14 21:03:00+00:00,long,152.24949999999998,152.25949999999997,152.25949999999997,153.39499999999998,tp1_then_be_stop,3.4999816875303322,31.372725646033224,5,136519,6.0,28.0,2025-02-15,75.0,50245.604642345075,50276.97736799111,TOKYO_MEANREV,tokyo_meanrev,tokyo,153.39499999999998,154.147922,154.61307799999997,152.64207799999997,152.176922,152.40119022155375,152.3112,152.22120977844628,152.25289524352002,bearish,22.2748815165954,0.06849999999999616
35,2025-02-20 20:39:00+00:00,2025-02-20 20:38:00+00:00,1,2025-02-20 21:04:00+00:00,long,149.7035,149.6035,149.6035,151.67566666666667,sl,-9.999999999999432,-251.55226983324496,5,376331,6.0,10.0,2025-02-21,25.0,50276.97736799111,50025.425098157866,TOKYO_MEANREV,tokyo_meanrev,tokyo,151.67566666666667,152.08555266666667,152.33878066666668,151.26578066666667,151.01255266666666,149.8363597987466,149.75279999999998,149.66924020125336,149.716231563094,bearish,29.644268774700706,0.0937142857142886
36,2025-02-20 20:51:00+00:00,2025-02-20 20:50:00+00:00,1,2025-02-20 22:04:00+00:00,long,149.6885,149.5945,149.5885,151.67566666666667,session_close,-9.399999999999409,-236.4501101310394,4,376294,6.0,10.0,2025-02-21,73.0,50025.425098157866,49788.97498802683,TOKYO_MEANREV,tokyo_meanrev,tokyo,151.67566666666667,152.08555266666667,152.33878066666668,151.26578066666667,151.01255266666666,149.8369519769342,149.7516,149.6662480230658,149.702,bearish,32.29571984435282,0.08292857142857558
37,2025-02-21 19:27:00+00:00,2025-02-21 19:25:00+00:00,2,2025-02-21 20:07:00+00:00,long,148.9745,149.04049999999998,148.9845,150.15,tp1_then_trailing_stop,6.807141293220783,60.49360808387691,5,132451,7.014285714285709,28.0,2025-02-22,40.0,49788.97498802683,49849.4685961107,TOKYO_MEANREV,tokyo_meanrev,tokyo,150.15,150.928516,151.40948400000002,149.371484,148.890516,149.28157397038154,149.121,148.96042602961847,149.0811688,bearish,29.19999999999898,0.14028571428571418
38,2025-02-25 20:59:00+00:00,2025-02-25 20:56:00+00:00,3,2025-02-25 22:04:00+00:00,long,148.9585,148.9995,148.96849999999998,149.47966666666665,tp1_then_session_close,5.050000000001376,64.60685312287413,4,190636,6.0,19.475533333334738,2025-02-26,65.0,49849.4685961107,49914.07544923358,TOKYO_MEANREV,tokyo_meanrev,tokyo,149.47966666666665,149.87274466666665,150.11558866666664,149.08658866666664,148.84374466666665,149.14217730890743,149.05245,148.96272269109255,148.908,bullish,16.95652173913382,0.11592857142857074
39,2025-03-06 19:33:00+00:00,2025-03-06 19:32:00+00:00,1,2025-03-06 19:55:00+00:00,long,147.6555,147.7605,147.66549999999998,149.158,tp1_then_trailing_stop,10.266071428571877,91.4397306358888,5,131608,10.032142857143052,28.0,2025-03-07,22.0,49914.07544923358,50005.515179869464,TOKYO_MEANREV,tokyo_meanrev,tokyo,149.158,149.84330799999998,150.266692,148.472692,148.04930799999997,147.97850153702493,147.7996,147.62069846297507,147.57,bullish,27.71474878444336,0.20064285714286104
40,2025-03-13 16:56:00+00:00,2025-03-13 16:55:00+00:00,1,2025-03-13 18:03:00+00:00,long,147.5975,147.6075,147.6075,148.38433333333333,tp1_then_be_stop,4.7589285714281,42.47287747014277,5,131798,8.517857142857212,28.0,2025-03-14,67.0,50005.515179869464,50047.98805733961,TOKYO_MEANREV,tokyo_meanrev,tokyo,148.38433333333333,148.94472733333333,149.29093933333334,147.82393933333333,147.47772733333332,147.89744824696984,147.72345,147.54945175303018,147.536763184,bullish,23.091603053435605,0.17035714285714423
41,2025-03-13 17:07:00+00:00,2025-03-13 17:03:00+00:00,4,2025-03-13 18:28:00+00:00,long,147.64149999999998,147.65149999999997,147.65149999999997,148.38433333333333,tp1_then_be_stop,4.541044569104758,40.52937330581456,4,131837,8.082142857142875,28.0,2025-03-14,81.0,50047.98805733961,50088.51743064542,TOKYO_MEANREV,tokyo_meanrev,tokyo,148.38433333333333,148.94472733333333,149.29093933333334,147.82393933333333,147.47772733333332,147.88258233811845,147.7116,147.54061766188156,147.61838334142035,bearish,31.228668941980942,0.1616428571428575
