trade_id,entry_datetime,exit_datetime,direction,mode,phase,entry_price,exit_price,sl_price,tp1_price,tp2_price,exit_reason,pips,usd,position_size_units,duration_minutes,equity_before,equity_after,mfe_pips,mae_pips,entry_session_day,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,rsi_m5,atr_m15,adx_m15,session_mean,day_type,first_hour_high,first_hour_low,ema20_m5,roc10_m5,news_event_id,news_move_pips
130,2023-10-04 00:00:00+00:00,2023-10-04 00:04:00+00:00,short,mean_reversion,morning_active,149.152,149.21800000000002,149.402,148.85133333333332,139.16199999999998,trailing_stop,-6.600000000003092,-226.20496186797715,511422,4.0,85721.62724191319,85495.42228004521,2.199999999996294,8.00000000000125,2023-10-04,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,148.85133333333332,149.9301013333333,150.5965653333333,147.77256533333332,147.10610133333333,149.1922485423394,149.10645000000002,149.02065145766065,64.02877697841822,0.09757142857142956,43.65699006707008,149.16,UNCLASSIFIED,,,,,,
131,2023-10-10 00:10:00+00:00,2023-10-10 00:16:00+00:00,long,mean_reversion,morning_active,148.33,148.333,148.08,148.73866666666666,158.32000000000002,trailing_stop,0.2999999999985903,10.259234290365926,507261,6.0,85495.42228004521,85505.68151433558,6.999999999996476,2.200000000001978,2023-10-10,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,148.73866666666666,149.04655866666667,149.23677466666666,148.43077466666665,148.24055866666666,148.50435798635112,148.3768,148.24924201364888,39.04382470119752,0.05807142857143382,40.17511989609261,148.25036363636366,UNCLASSIFIED,,,,,,
132,2023-10-12 00:10:00+00:00,2023-10-12 00:54:00+00:00,short,mean_reversion,morning_active,149.10399999999998,149.13400000000001,149.35399999999998,148.94933333333333,139.11399999999998,trailing_stop,-3.000000000002956,-102.58606354027299,509969,44.0,85505.68151433558,85403.0954507953,2.9999999999972715,6.200000000001182,2023-10-12,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,148.94933333333333,149.29236933333334,149.50429733333334,148.60629733333332,148.39436933333332,149.1061135480086,149.03230000000002,148.95848645199143,76.96078431371708,0.04478571428571497,59.425684827771704,149.10127272727274,UNCLASSIFIED,,,,,,
133,2023-10-12 00:25:00+00:00,2023-10-12 00:54:00+00:00,short,mean_reversion,morning_active,149.12199999999999,149.13400000000001,149.37199999999999,148.94933333333333,139.13199999999998,trailing_stop,-1.2000000000028876,-41.039414218184504,510031,29.0,85403.0954507953,85362.05603657711,4.79999999999734,3.2000000000010687,2023-10-12,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,148.94933333333333,149.29236933333334,149.50429733333334,148.60629733333332,148.39436933333332,149.14648359971392,149.04244999999997,148.93841640028603,75.3246753246707,0.050785714285713164,58.095718204976386,149.11842307692308,UNCLASSIFIED,,,,,,
134,2023-10-13 04:40:00+00:00,2023-10-13 06:00:00+00:00,short,breakout,afternoon_active,149.646,149.704,149.858,149.546,149.546,session_end_close,-5.800000000002115,-87.54240367662038,225956,80.0,85362.05603657711,85274.51363290049,6.4999999999969305,10.200000000003229,2023-10-13,TOKYO_DUAL_MODE_V11,breakout,tokyo,,,,,,,,,,,31.233978709853375,,TRENDING,149.828,149.733,149.74036180305205,-0.0008012071521092082,,
135,2023-10-13 04:50:00+00:00,2023-10-13 06:00:00+00:00,short,breakout,afternoon_active,149.642,149.704,149.858,149.542,149.542,session_end_close,-6.200000000001182,-91.84451985252646,221766,70.0,85274.51363290049,85182.66911304796,6.099999999997863,10.600000000002296,2023-10-13,TOKYO_DUAL_MODE_V11,breakout,tokyo,,,,,,,,,,,35.26127427538554,,TRENDING,149.828,149.733,149.72086759841676,-0.0007745416182577184,,
136,2023-10-16 00:10:00+00:00,2023-10-16 00:30:00+00:00,long,mean_reversion,morning_active,149.476,149.49599999999998,149.25737333333333,149.47333333333336,159.466,trailing_stop,0.6400007783930701,24.93179768436922,582397,20.0,85182.66911304796,85207.60091073233,8.199999999999363,2.5000000000005684,2023-10-16,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,149.47333333333336,149.55737333333335,149.60929333333337,149.38929333333337,149.33737333333335,149.66638769696655,149.5656,149.46481230303343,26.037735849058706,0.08349999999999877,16.442434014222226,149.4787272727273,UNCLASSIFIED,,,,,,
137,2023-10-16 01:05:00+00:00,2023-10-16 01:50:00+00:00,long,mean_reversion,morning_active,149.48600000000002,149.456,149.25737333333333,149.47333333333336,159.47600000000003,trailing_stop,-1.9600012444873978,-73.05927049622196,557124,45.0,85207.60091073233,85134.54164023612,3.099999999997749,3.200000000003911,2023-10-16,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,149.47333333333336,149.55737333333335,149.60929333333337,149.38929333333337,149.33737333333335,149.62822938367947,149.52394999999999,149.4196706163205,38.421052631582214,0.08042857142857177,14.882614624717913,149.49943939393938,RANGING,,,,,,
138,2023-10-16 04:55:00+00:00,2023-10-16 05:30:00+00:00,long,mean_reversion,afternoon_active,149.454,149.37599999999998,149.25737333333333,149.47333333333336,159.44400000000002,trailing_stop,-7.800000000003138,-337.89713206954474,647099,35.0,85134.54164023612,84796.64450816657,0.0,8.600000000001273,2023-10-16,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,149.47333333333336,149.55737333333335,149.60929333333337,149.38929333333337,149.33737333333335,149.51588794127343,149.4624,149.40891205872657,33.81294964028321,0.04235714285714413,23.138100772253292,149.47461148648637,RANGING,,,,,,
139,2023-10-16 05:25:00+00:00,2023-10-16 06:00:00+00:00,long,mean_reversion,afternoon_active,149.406,149.439,149.17333333333335,149.46923006134963,159.39600000000002,session_end_close,5.1137992572384015,187.04844241925016,546688,35.0,84796.64450816657,84983.69295058583,6.599999999997408,3.8000000000010914,2023-10-16,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,149.47333333333336,149.55737333333335,149.60929333333337,149.38929333333337,149.33737333333335,149.49575314615254,149.44015,149.38454685384744,34.78260869565294,0.04035714285714472,27.15227873378652,149.46923006134963,RANGING,,,,,,
140,2023-10-17 00:25:00+00:00,2023-10-17 01:06:00+00:00,short,mean_reversion,morning_active,149.606,149.55800000000002,149.856,149.5566666666667,139.61599999999999,trailing_stop,4.8799999475611555,165.94203946422863,508562,41.0,84983.69295058583,85149.63499005005,11.999999999997613,3.4000000000020236,2023-10-17,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,149.5566666666667,149.7041186666667,149.7952146666667,149.4092146666667,149.3181186666667,149.61516622163424,149.5838,149.55243377836575,63.09523809523427,0.03449999999999826,27.104596659956744,149.59153846153848,UNCLASSIFIED,,,,,,
