trade_id,entry_datetime,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
114,2025-11-06 15:10:00+00:00,2025-11-06 15:46:00+00:00,long,153.3555,153.15550000000002,153.15550000000002,153.80966666666666,sl,-19.999999999998863,-333.9285889177802,3,255715,2025-11-07,36.0,44465.75989296111,44131.831304043335,TOKYO_MEANREV,tokyo_meanrev,tokyo,153.80966666666666,154.34408466666665,154.67424866666667,153.27524866666667,152.94508466666665,153.60486938796714,153.47205000000002,153.3392306120329,153.280678016,bullish,34.867256637170286,0.10399999999999311
116,2025-11-06 21:03:00+00:00,2025-11-06 23:42:00+00:00,long,153.0495,152.8495,152.8495,153.80966666666666,sl,-19.999999999998863,-331.4214308846095,4,253288,2025-11-07,159.0,44131.831304043335,43800.40987315872,TOKYO_MEANREV,tokyo_meanrev,tokyo,153.80966666666666,154.34408466666665,154.67424866666667,153.27524866666667,152.94508466666665,153.1630166010933,153.10880000000003,153.05458339890677,152.999,bullish,33.760683760685794,0.0827857142857137
115,2025-11-06 17:26:00+00:00,2025-11-07 00:00:00+00:00,long,152.8825,152.9065,152.6825,153.80966666666666,session_close,2.400000000000091,39.71226860859565,5,253011,2025-11-07,394.0,43800.40987315872,43840.122141767315,TOKYO_MEANREV,tokyo_meanrev,tokyo,153.80966666666666,154.34408466666665,154.67424866666667,153.27524866666667,152.94508466666665,153.2149408770898,153.04065,152.8663591229102,152.832,bullish,14.13043478260684,0.12549999999999834
117,2025-11-09 22:05:00+00:00,2025-11-10 00:00:00+00:00,short,153.7345,153.56449999999998,153.93449999999999,153.27533333333335,session_close,16.636733333332643,273.8048632763472,5,252740,2025-11-10,115.0,43840.122141767315,44113.92700504366,TOKYO_MEANREV,tokyo_meanrev,tokyo,153.27533333333335,153.57176533333336,153.75490133333335,152.97890133333334,152.79576533333335,153.59523628291083,153.45080000000002,153.3063637170892,153.41,bullish,79.19580419580143,0.09800000000000507
118,2025-11-10 20:03:00+00:00,2025-11-10 21:30:00+00:00,short,154.03650000000002,154.11650000000003,154.11650000000003,153.27533333333335,sl,-8.00000000000125,-259.54391645285386,4,500000,2025-11-11,87.0,44113.92700504366,43854.38308859081,TOKYO_MEANREV,tokyo_meanrev,tokyo,153.27533333333335,153.57176533333336,153.75490133333335,152.97890133333334,152.79576533333335,154.05026559227878,153.99575,153.9412344077212,154.084,bearish,67.75956284153565,0.06221428571428638
119,2025-11-11 21:40:00+00:00,2025-11-12 00:00:00+00:00,short,154.1515,154.0695,154.3515,153.92866666666666,session_close,8.199999999999363,134.9238882452295,3,253508,2025-11-12,140.0,43854.38308859081,43989.30697683604,TOKYO_MEANREV,tokyo_meanrev,tokyo,153.92866666666666,154.25183866666666,154.45149466666666,153.60549466666666,153.40583866666665,154.15624758233693,154.1226,154.08895241766308,154.12391798271997,bullish,66.917293233084,0.04178571428571282
120,2025-11-12 19:11:00+00:00,2025-11-12 21:22:00+00:00,short,154.6745,154.87449999999998,154.87449999999998,154.10600000000002,sl,-19.999999999998863,-329.49258916088263,4,255150,2025-11-13,131.0,43989.30697683604,43659.81438767516,TOKYO_MEANREV,tokyo_meanrev,tokyo,154.10600000000002,154.42306000000002,154.61894000000004,153.78894000000003,153.59306,154.68661129233436,154.63315,154.57968870766564,154.699,bearish,69.16299559471332,0.0749285714285719
121,2025-11-12 19:59:00+00:00,2025-11-13 00:00:00+00:00,short,154.7105,154.7295,154.91049999999998,154.10600000000002,session_close,-1.9000000000005457,-31.338497183803952,4,255210,2025-11-13,241.0,43659.81438767516,43628.475890491354,TOKYO_MEANREV,tokyo_meanrev,tokyo,154.10600000000002,154.42306000000002,154.61894000000004,153.78894000000003,153.59306,154.70822421315358,154.65685000000002,154.60547578684645,154.727,bearish,68.80733944953829,0.06621428571428721
122,2025-11-17 23:53:00+00:00,2025-11-18 00:00:00+00:00,short,155.23850000000002,155.2655,155.4385,154.99766666666667,session_close,-2.6999999999986812,-44.166025292139274,4,253980,2025-11-18,7.0,43628.475890491354,43584.30986519921,TOKYO_MEANREV,tokyo_meanrev,tokyo,154.99766666666667,155.33802866666667,155.54830466666667,154.65730466666668,154.44702866666668,155.26530336231679,155.2237,155.18209663768323,155.288,bearish,71.61290322579947,0.04571428571429083
123,2025-11-18 18:02:00+00:00,2025-11-19 00:00:00+00:00,short,155.6605,155.5775,155.8605,154.99766666666667,session_close,8.300000000002683,135.7283604634785,5,254413,2025-11-19,358.0,43584.30986519921,43720.03822566269,TOKYO_MEANREV,tokyo_meanrev,tokyo,154.99766666666667,155.33802866666667,155.54830466666667,154.65730466666668,154.44702866666668,155.68404236664398,155.53665,155.38925763335604,155.702,bearish,83.28690807799289,0.1298571428571417
124,2025-11-19 17:42:00+00:00,2025-11-19 19:03:00+00:00,short,156.8265,156.90650000000002,156.90650000000002,155.3576666666667,sl,-8.00000000000125,-254.92889077256996,5,500000,2025-11-20,81.0,43720.03822566269,43465.10933489012,TOKYO_MEANREV,tokyo_meanrev,tokyo,155.3576666666667,155.70872466666668,155.9256086666667,155.0066086666667,154.78972466666667,156.8426021360272,156.65365,156.4646978639728,156.77720000000002,bullish,73.5915492957779,0.12999999999999748
125,2025-11-19 19:40:00+00:00,2025-11-19 19:52:00+00:00,short,156.9285,157.00850000000003,157.00850000000003,155.3576666666667,sl,-8.00000000000125,-254.7632771474554,4,500000,2025-11-20,12.0,43465.10933489012,43210.34605774267,TOKYO_MEANREV,tokyo_meanrev,tokyo,155.3576666666667,155.70872466666668,155.9256086666667,155.0066086666667,154.78972466666667,156.94170389711613,156.8391,156.73649610288388,156.862658272,bullish,66.92506459948446,0.1054285714285673
126,2025-11-19 21:20:00+00:00,2025-11-19 21:23:00+00:00,short,157.0585,157.13850000000002,157.13850000000002,155.3576666666667,sl,-8.00000000000125,-254.5525125924344,4,500000,2025-11-20,3.0,43210.34605774267,42955.793545150234,TOKYO_MEANREV,tokyo_meanrev,tokyo,155.3576666666667,155.70872466666668,155.9256086666667,155.0066086666667,154.78972466666667,157.05960677995117,157.00155,156.94349322004885,157.01,bullish,69.08212560386718,0.0880714285714248
127,2025-11-20 15:44:00+00:00,2025-11-20 17:18:00+00:00,short,157.8205,157.3575,158.0205,156.52333333333334,tp1_then_trailing_stop,50.36221735431817,813.8669976200629,5,254223,2025-11-21,94.0,42955.793545150234,43769.660542770296,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.52333333333334,157.27625533333335,157.74141133333333,155.77041133333333,155.30525533333335,157.876892179635,157.70345,157.530007820365,157.895,bearish,77.80082987551879,0.20649999999999732
128,2025-11-20 20:15:00+00:00,2025-11-21 00:00:00+00:00,short,157.5945,157.4775,157.79141133333334,156.52333333333334,session_close,11.700000000001864,195.19651378771508,3,262727,2025-11-21,225.0,43769.660542770296,43964.85705655801,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.52333333333334,157.27625533333335,157.74141133333333,155.77041133333333,155.30525533333335,157.59797341123516,157.519,157.44002658876485,157.548,bullish,68.42105263157796,0.14142857142857274
129,2025-11-25 20:03:00+00:00,2025-11-26 00:00:00+00:00,long,155.8675,156.1565,155.7875,156.83900000000003,session_close,28.899999999998727,925.3537316729925,5,500000,2025-11-26,237.0,43964.85705655801,44890.210788231,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.83900000000003,157.13734200000002,157.321658,156.54065800000004,156.35634200000004,155.96375883738122,155.91285,155.86194116261876,155.809,bullish,27.669902912633148,0.1269999999999994
130,2025-12-02 17:21:00+00:00,2025-12-03 00:00:00+00:00,short,156.0505,155.7815,156.2505,155.43333333333337,session_close,26.900000000000546,453.6106533831132,4,262692,2025-12-03,399.0,44890.210788231,45343.82144161411,TOKYO_MEANREV,tokyo_meanrev,tokyo,155.43333333333337,156.00251333333335,156.35415333333336,154.86415333333338,154.51251333333337,156.05584056950963,155.8977,155.73955943049035,156.087,bearish,71.65991902833622,0.12607142857143167
131,2025-12-03 23:51:00+00:00,2025-12-04 00:00:00+00:00,long,155.1235,155.0565,154.92350000000002,155.38166666666666,session_close,-6.700000000000728,-113.97516389188405,4,263770,2025-12-04,9.0,45343.82144161411,45229.84627772223,TOKYO_MEANREV,tokyo_meanrev,tokyo,155.38166666666666,155.72393866666667,155.93539466666667,155.03939466666665,154.82793866666665,155.25396401618124,155.18155,155.10913598381873,155.088,bullish,29.166666666676036,0.05842857142857635
132,2025-12-08 19:39:00+00:00,2025-12-09 00:00:00+00:00,short,155.80450000000002,155.8215,156.0045,155.059,session_close,-1.6999999999967486,-28.830880205821458,4,264263,2025-12-09,261.0,45229.84627772223,45201.01539751641,TOKYO_MEANREV,tokyo_meanrev,tokyo,155.059,155.498682,155.770318,154.619318,154.347682,155.80400307843098,155.75735000000003,155.71069692156908,155.848,bearish,66.28352490421636,0.06728571428571277
133,2025-12-08 19:49:00+00:00,2025-12-09 00:00:00+00:00,short,155.8595,155.8215,156.05949999999999,155.059,session_close,3.8000000000010914,64.46817672787701,4,264356,2025-12-09,251.0,45201.01539751641,45265.48357424428,TOKYO_MEANREV,tokyo_meanrev,tokyo,155.059,155.498682,155.770318,154.619318,154.347682,155.81970472829227,155.76395,155.70819527170772,155.79752000000002,bullish,65.20000000000041,0.06742857142857263
134,2025-12-09 15:00:00+00:00,2025-12-09 15:06:00+00:00,short,156.6205,156.74066666666664,156.74066666666664,155.60466666666665,sl,-12.016666666664833,-339.23057513254525,4,442479,2025-12-10,6.0,45265.48357424428,44926.25299911173,TOKYO_MEANREV,tokyo_meanrev,tokyo,155.60466666666665,156.01951866666664,156.27581466666663,155.18981466666665,154.93351866666666,156.572067971291,156.4308,156.289532028709,156.4,bullish,67.96657381615424,0.12092857142857026
135,2025-12-10 23:29:00+00:00,2025-12-11 00:00:00+00:00,long,155.8215,155.76250000000002,155.6215,156.25266666666667,session_close,-5.899999999996908,-99.43666158409039,4,262517,2025-12-11,31.0,44926.25299911173,44826.81633752764,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.25266666666667,156.69005666666666,156.9602766666667,155.81527666666668,155.54505666666665,156.09571377527482,155.96650000000002,155.83728622472523,155.758,bullish,17.796610169494116,0.14771428571428658
136,2025-12-10 23:39:00+00:00,2025-12-11 00:00:00+00:00,long,155.6815,155.76250000000002,155.49505666666664,156.25266666666667,session_close,8.100000000001728,146.30988203197083,4,281353,2025-12-11,21.0,44826.81633752764,44973.126219559614,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.25266666666667,156.69005666666666,156.9602766666667,155.81527666666668,155.54505666666665,156.08870186400864,155.93654999999998,155.78439813599132,155.7977460864,bearish,22.44897959184148,0.1266428571428589
137,2025-12-15 20:00:00+00:00,2025-12-15 23:02:00+00:00,long,155.2685,155.07333333333332,155.07333333333332,155.80533333333332,sl,-19.516666666666538,-337.7228236103327,5,268344,2025-12-16,182.0,44973.126219559614,44635.40339594928,TOKYO_MEANREV,tokyo_meanrev,tokyo,155.80533333333332,156.06585733333333,156.2268093333333,155.54480933333332,155.38385733333334,155.43072312204148,155.34795,155.2651768779585,155.22,bullish,26.605504587147834,0.06000000000000024
138,2025-12-15 20:11:00+00:00,2025-12-15 23:02:00+00:00,long,155.2475,155.07333333333332,155.07333333333332,155.80533333333332,sl,-17.41666666666788,-337.67637891752497,5,300658,2025-12-16,171.0,44635.40339594928,44297.72701703176,TOKYO_MEANREV,tokyo_meanrev,tokyo,155.80533333333332,156.06585733333333,156.2268093333333,155.54480933333332,155.38385733333334,155.4365710787965,155.33700000000002,155.23742892120353,155.27,bearish,25.11627906976142,0.06000000000000024
139,2025-12-16 17:39:00+00:00,2025-12-16 19:26:00+00:00,long,154.6155,154.7525,154.4155,155.343,tp1_then_trailing_stop,21.279070491081608,352.93202063980533,5,256841,2025-12-17,107.0,44297.72701703176,44650.65903767156,TOKYO_MEANREV,tokyo_meanrev,tokyo,155.343,155.781918,156.053082,154.904082,154.632918,154.93008049627318,154.78415,154.63821950372684,154.57,bullish,28.333333333332206,0.1717142857142814
140,2025-12-17 20:55:00+00:00,2025-12-18 00:00:00+00:00,short,155.72050000000002,155.49949999999998,155.80050000000003,154.789,session_close,22.100000000003206,710.613217405947,4,500000,2025-12-18,185.0,44650.65903767156,45361.27225507751,TOKYO_MEANREV,tokyo_meanrev,tokyo,154.789,155.115228,155.316772,154.46277199999997,154.261228,155.73347266997865,155.67105,155.60862733002136,155.6907247298048,bullish,65.05376344086275,0.05714285714285795
141,2025-12-22 23:36:00+00:00,2025-12-23 00:00:00+00:00,long,156.8735,156.86350000000002,156.67350000000002,157.15166666666667,session_close,-0.9999999999990904,-17.011541881939216,4,266849,2025-12-23,24.0,45361.27225507751,45344.26071319557,TOKYO_MEANREV,tokyo_meanrev,tokyo,157.15166666666667,157.53710466666666,157.77522866666666,156.76622866666668,156.52810466666668,157.0858174880753,156.98725,156.88868251192469,156.872,bullish,9.595959595937401,0.04864285714285594
142,2025-12-22 23:46:00+00:00,2025-12-23 00:00:00+00:00,long,156.8585,156.86350000000002,156.6585,157.15166666666667,session_close,0.5000000000023874,8.504942195006295,4,266823,2025-12-23,14.0,45344.26071319557,45352.765655390576,TOKYO_MEANREV,tokyo_meanrev,tokyo,157.15166666666667,157.53710466666666,157.77522866666666,156.76622866666668,156.52810466666668,157.08631298364062,156.97435000000002,156.8623870163594,156.89080476007805,bearish,10.752688172036102,0.04892857142856956
143,2025-12-23 19:11:00+00:00,2025-12-23 23:11:00+00:00,long,156.2215,156.09266666666667,156.09266666666667,157.15166666666667,sl,-12.883333333331848,-340.42568196665576,4,412455,2025-12-24,240.0,45352.765655390576,45012.33997342392,TOKYO_MEANREV,tokyo_meanrev,tokyo,157.15166666666667,157.53710466666666,157.77522866666666,156.76622866666668,156.52810466666668,156.3477767309409,156.2816,156.2154232690591,156.19944,bullish,31.939163498099433,0.080285714285718
144,2025-12-24 19:37:00+00:00,2025-12-26 00:00:00+00:00,long,155.8775,156.1725,155.6775,156.31233333333333,session_close,29.50000000000159,497.00763578737735,4,263115,2025-12-25,1703.0,45012.33997342392,45509.3476092113,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.31233333333333,156.84751533333332,157.17815133333332,155.77715133333334,155.44651533333334,155.99028137050925,155.96955,155.94881862949075,155.962,bearish,29.310344827582824,0.06335714285714492
145,2025-12-24 20:00:00+00:00,2025-12-26 00:00:00+00:00,long,155.8835,156.1725,155.6835,156.31233333333333,session_close,28.90000000000157,486.91751108552484,4,263125,2025-12-25,1680.0,45509.3476092113,45996.26512029682,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.31233333333333,156.84751533333332,157.17815133333332,155.77715133333334,155.44651533333334,156.01344391346876,155.94750000000002,155.88155608653128,155.84195691059838,bullish,10.344827586208595,0.05892857142857265
146,2025-12-29 19:54:00+00:00,2025-12-30 00:00:00+00:00,long,156.0755,155.95950000000002,155.87550000000002,156.3503333333333,session_close,-11.599999999998545,-200.23229107554255,3,269208,2025-12-30,246.0,45996.26512029682,45796.03282922128,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.3503333333333,156.7239293333333,156.9547373333333,155.97673733333332,155.74592933333332,156.26122556370848,156.1822,156.1031744362915,156.116,bearish,30.916030534354334,0.06892857142856355
147,2025-12-29 20:08:00+00:00,2025-12-30 00:00:00+00:00,long,156.0435,155.95950000000002,155.8435,156.3503333333333,session_close,-8.399999999997476,-144.9661739104909,4,269153,2025-12-30,232.0,45796.03282922128,45651.06665531079,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.3503333333333,156.7239293333333,156.9547373333333,155.97673733333332,155.74592933333332,156.3020064923432,156.1634,156.0247935076568,155.994,bullish,20.40133779264211,0.06799999999999175
148,2025-12-30 19:00:00+00:00,2025-12-31 00:00:00+00:00,short,156.44050000000001,156.3825,156.63683133333333,156.1783333333333,session_close,5.800000000002115,101.18386648126081,3,272817,2025-12-31,300.0,45651.06665531079,45752.25052179205,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.1783333333333,156.4308353333333,156.58683133333332,155.92583133333332,155.7698353333333,156.43300220762168,156.36795,156.30289779237833,156.39585569534617,bullish,65.9663865546186,0.07992857142857142
149,2025-12-31 18:35:00+00:00,2026-01-02 00:00:00+00:00,short,156.8965,156.7505,157.0965,156.24433333333334,session_close,14.6000000000015,250.7261412244557,4,269188,2026-01-01,1765.0,45752.25052179205,46002.9766630165,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.24433333333334,156.55910133333336,156.75356533333334,155.92956533333333,155.73510133333335,156.90334004217473,156.83089999999999,156.75845995782524,156.86082000000002,bullish,66.1538461538438,0.08642857142856997
150,2026-01-01 23:06:00+00:00,2026-01-02 00:00:00+00:00,short,156.82850000000002,156.7505,157.0285,156.67066666666665,session_close,7.800000000003138,133.89185999412086,4,269072,2026-01-02,54.0,46002.9766630165,46136.86852301063,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.67066666666665,156.92431466666665,157.08101866666667,156.41701866666665,156.26031466666663,156.8006764027213,156.7208,156.6409235972787,156.705,bullish,73.88888888888397,0.05835714285714338
151,2026-01-04 23:46:00+00:00,2026-01-05 00:00:00+00:00,short,156.9245,156.9715,157.12449999999998,156.78766666666664,session_close,-4.699999999999704,-81.29182686028481,4,271500,2026-01-05,14.0,46136.86852301063,46055.57669615034,TOKYO_MEANREV,tokyo_meanrev,tokyo,156.78766666666664,156.97179066666664,157.08554266666664,156.60354266666664,156.48979066666664,156.92399790952317,156.80135,156.67870209047686,157.0,bearish,73.29842931937651,0.07057142857142448
