trade_id,entry_datetime,signal_datetime,confirmation_delay_candles,exit_datetime,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,pips,usd,confluence_score,position_size_units,partial_tp_pips,initial_sl_pips,regime_label,confluence_combo,quality_label,size_mult_total,size_mult_regime,size_mult_quality,size_mult_hour,size_mult_dd,dd_tier,entry_session_day,duration_minutes,equity_before,equity_after,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,sar_value,sar_direction,rsi_m5,atr_m15
55,2023-11-30 17:36:00+00:00,2023-11-30 17:35:00+00:00,1,2023-11-30 22:03:00+00:00,short,148.05450000000002,148.2105,148.33450000000002,147.27133333333333,session_close,-15.599999999997749,-71.17916746788167,5,67625,10.153571428571492,28.0,neutral,ABCDE,high,0.5,0.5,1.0,1.0,1.0,full,2023-12-01,267.0,51157.41285976503,51086.233692297144,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.27133333333333,147.74272133333332,148.03394533333335,146.79994533333334,146.5087213333333,148.0275435834873,147.91064999999998,147.79375641651265,147.97772977664002,bullish,74.13394919168668,0.20307142857142985
56,2023-11-30 20:18:00+00:00,2023-11-30 20:16:00+00:00,2,2023-11-30 22:03:00+00:00,short,148.2645,148.2105,148.2445,147.27133333333333,tp1_then_session_close,5.699994093441967,19.534012005803575,5,50791,6.0,28.0,neutral,ABCDE,high,0.375,0.5,1.0,0.75,1.0,full,2023-12-01,105.0,51086.233692297144,51105.76770430295,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.27133333333333,147.74272133333332,148.03394533333335,146.79994533333334,146.5087213333333,148.28396682283787,148.20260000000002,148.12123317716217,148.288,bearish,72.4358974358969,0.10200000000000184
57,2023-12-06 19:28:00+00:00,2023-12-06 19:27:00+00:00,1,2023-12-06 22:03:00+00:00,short,147.3065,147.2475,147.2865,147.036,tp1_then_session_close,5.949999999999989,40.74125904942659,3,100824,6.0,28.0,favorable,ABC,high,0.75,1.0,1.0,0.75,1.0,full,2023-12-07,155.0,51105.76770430295,51146.508963352375,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.036,147.35306,147.54894,146.71894,146.52306000000002,147.31939417422834,147.25330000000002,147.1872058257717,147.331812,bearish,67.06827309237141,0.07871428571428599
58,2023-12-06 19:50:00+00:00,2023-12-06 19:48:00+00:00,2,2023-12-06 22:03:00+00:00,short,147.34650000000002,147.2475,147.3265,147.036,tp1_then_session_close,7.950019335456288,54.444882783738734,3,100851,6.0,28.0,favorable,ABC,high,0.75,1.0,1.0,0.75,1.0,full,2023-12-07,133.0,51146.508963352375,51200.953846136115,TOKYO_MEANREV,tokyo_meanrev,tokyo,147.036,147.35306,147.54894,146.71894,146.52306000000002,147.35111041212735,147.2786,147.20608958787267,147.31562,bullish,68.9839572192467,0.0677857142857172
59,2023-12-19 18:00:00+00:00,2023-12-19 17:59:00+00:00,1,2023-12-19 18:18:00+00:00,short,143.7965,143.8965,143.8965,142.67733333333334,sl,-9.999999999999432,-127.91277063722158,5,184062,8.260714285714041,10.0,neutral,ABCDE,high,0.5,0.5,1.0,1.0,1.0,full,2023-12-20,18.0,51200.953846136115,51073.04107549889,TOKYO_MEANREV,tokyo_meanrev,tokyo,142.67733333333334,143.09256733333334,143.34909933333333,142.26209933333334,142.00556733333335,143.82696570459737,143.7016,143.57623429540266,143.862,bearish,79.3193717277513,0.16521428571428082
60,2023-12-21 19:43:00+00:00,2023-12-21 19:42:00+00:00,1,2023-12-21 20:08:00+00:00,long,142.2275,142.2475,142.2475,143.64266666666666,tp1_then_be_stop,4.0660613155934495,58.384882200317314,4,204299,6.132142857142802,10.0,favorable,ABCE,medium,0.5625,1.0,0.75,0.75,1.0,full,2023-12-22,25.0,51073.04107549889,51131.42595769921,TOKYO_MEANREV,tokyo_meanrev,tokyo,143.64266666666666,143.96201866666664,144.15931466666666,143.32331466666668,143.12601866666665,142.45524091229962,142.34244999999999,142.22965908770036,142.2879012,bearish,30.172413793107538,0.12264285714285604
61,2024-01-04 21:31:00+00:00,2024-01-04 21:29:00+00:00,2,2024-01-04 22:03:00+00:00,short,144.6585,144.5895,144.6385,142.966,tp1_then_session_close,6.450000000000954,46.77837042168318,4,104866,6.0,26.449999999999818,favorable,ABCE,medium,0.75,1.0,0.75,1.0,1.0,full,2024-01-05,32.0,51131.42595769921,51178.2043281209,TOKYO_MEANREV,tokyo_meanrev,tokyo,142.966,143.68301400000001,144.12598599999998,142.248986,141.80601400000003,144.6495157366879,144.58120000000002,144.51288426331215,144.662812,bearish,67.81609195402862,0.07149999999999627
62,2024-01-10 19:38:00+00:00,2024-01-10 19:37:00+00:00,1,2024-01-10 20:14:00+00:00,short,145.6785,145.7785,145.7785,144.184,sl,-9.999999999999432,-71.91938454572797,4,104843,6.0,10.0,neutral,ABCE,medium,0.28125,0.5,0.75,0.75,1.0,full,2024-01-11,36.0,51178.2043281209,51106.28494357517,TOKYO_MEANREV,tokyo_meanrev,tokyo,144.184,144.64316399999998,144.926836,143.724836,143.441164,145.69519667537364,145.63615000000001,145.5771033246264,145.632,bullish,69.62616822429993,0.08799999999999589
63,2024-01-12 19:31:00+00:00,2024-01-12 19:27:00+00:00,4,2024-01-12 21:09:00+00:00,long,144.8275,144.8475,144.8475,145.576,tp1_then_be_stop,4.1392857142867,28.321318654525264,5,99128,6.278571428571363,28.0,favorable,ABCDE,high,0.75,1.0,1.0,0.75,1.0,full,2024-01-13,98.0,51106.28494357517,51134.606262229696,TOKYO_MEANREV,tokyo_meanrev,tokyo,145.576,146.112328,146.443672,145.039672,144.708328,145.0133824253149,144.91175,144.81011757468514,144.864,bearish,28.437500000003155,0.12557142857142725
64,2024-01-23 17:38:00+00:00,2024-01-23 17:35:00+00:00,3,2024-01-23 18:52:00+00:00,short,148.6585,148.5395,148.6385,148.01933333333332,tp1_then_trailing_stop,8.950000000000102,90.2679643030973,5,149834,6.0,12.683333333333735,neutral,ABCDE,high,0.5,0.5,1.0,1.0,1.0,full,2024-01-24,74.0,51134.606262229696,51224.8742265328,TOKYO_MEANREV,tokyo_meanrev,tokyo,148.01933333333332,148.28138533333333,148.44328133333332,147.7572813333333,147.59538533333333,148.6447394386025,148.52875,148.4127605613975,148.538,bullish,77.89855072463597,0.11935714285714434
