trade_id,entry_datetime,exit_datetime,direction,mode,phase,entry_price,exit_price,sl_price,tp1_price,tp2_price,exit_reason,pips,usd,position_size_units,duration_minutes,equity_before,equity_after,mfe_pips,mae_pips,entry_session_day,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,rsi_m5,atr_m15,adx_m15,session_mean,day_type,news_event_id,news_move_pips,first_hour_high,first_hour_low,ema20_m5,roc10_m5
110,2025-03-19 05:50:00+00:00,2025-03-19 06:00:00+00:00,short,mean_reversion,afternoon_active,149.683,149.803,149.933,149.4800256410258,139.69299999999998,session_end_close,-12.000000000000455,-387.6074577945849,483873,10.0,80816.36040314566,80428.75294535108,0.0,12.300000000001887,2025-03-19,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,149.42933333333335,149.74906733333336,149.94659933333335,149.10959933333334,148.91206733333334,149.74531406657405,149.56305,149.38078593342595,71.34328358208914,0.12385714285714146,18.492350978840868,149.4800256410258,NEWS,,,,,,
111,2025-03-20 00:15:00+00:00,2025-03-20 00:25:00+00:00,long,mean_reversion,morning_active,148.41400000000002,148.41,148.16400000000002,149.18933333333334,158.40400000000002,trailing_stop,-0.40000000000190994,-12.868944141291824,477470,10.0,80428.75294535108,80415.8840012098,5.79999999999643,2.200000000001978,2025-03-20,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,149.18933333333334,149.77761333333333,150.14105333333333,148.60105333333334,148.23761333333334,148.74443335943144,148.55905,148.3736666405686,17.701149425282622,0.10300000000000255,45.790627192753014,148.392375,UNCLASSIFIED,,,,,,
112,2025-03-20 00:25:00+00:00,2025-03-20 00:34:00+00:00,long,mean_reversion,morning_active,148.48600000000002,148.44099999999997,148.23600000000002,149.18933333333334,158.47600000000003,trailing_stop,-4.500000000004434,-144.79237542202748,477625,9.0,80415.8840012098,80271.09162578777,2.9999999999972715,5.400000000003047,2025-03-20,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,149.18933333333334,149.77761333333333,150.14105333333333,148.60105333333334,148.23761333333334,148.73257170121644,148.54225000000002,148.3519282987836,29.130434782608774,0.10300000000000255,45.790627192753014,148.40653846153847,UNCLASSIFIED,,,,,,
113,2025-03-20 00:40:00+00:00,2025-03-20 00:51:00+00:00,long,mean_reversion,morning_active,148.48600000000002,148.37599999999998,148.23600000000002,149.18933333333334,158.47600000000003,trailing_stop,-11.000000000004206,-353.45439963349907,476765,11.0,80271.09162578777,79917.63722615427,0.0,11.400000000003274,2025-03-20,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,149.18933333333334,149.77761333333333,150.14105333333333,148.60105333333334,148.23761333333334,148.7114256905292,148.52365,148.3358743094708,38.52242744063354,0.10521428571428869,42.3962184155077,148.4318536585366,UNCLASSIFIED,,,,,,
114,2025-03-21 00:00:00+00:00,2025-03-21 00:07:00+00:00,long,mean_reversion,morning_active,148.642,148.64,148.392,148.64033333333336,158.632,trailing_stop,-0.18000002805907295,-5.754132587118056,475164,7.0,79917.63722615427,79911.88309356716,6.399999999999295,6.000000000000227,2025-03-21,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,148.64033333333336,148.94211333333337,149.12855333333334,148.33855333333335,148.15211333333338,148.81740088048318,148.71095,148.60449911951682,31.11782477341164,0.05964285714285771,58.916431434881815,148.634,UNCLASSIFIED,,,,,,
115,2025-03-21 00:30:00+00:00,2025-03-21 00:37:00+00:00,short,mean_reversion,morning_active,148.87699999999998,148.91400000000002,149.12699999999998,148.81503225806452,138.88699999999997,trailing_stop,-3.700000000003456,-118.2400378743197,475881,7.0,79911.88309356716,79793.64305569284,4.2999999999977945,6.900000000001683,2025-03-21,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,148.64033333333336,148.94211333333337,149.12855333333334,148.33855333333335,148.15211333333338,148.91993379284298,148.72805,148.536166207157,64.13223140495894,0.08764285714285742,54.18171686720031,148.81503225806452,UNCLASSIFIED,,,,,,
116,2025-03-24 00:50:00+00:00,2025-03-24 01:04:00+00:00,short,mean_reversion,morning_active,149.736,149.804,149.816,149.62374509803922,139.74599999999998,trailing_stop,-6.800000000001205,-453.9264639129265,1000000,14.0,79793.64305569284,79339.71659177991,0.7999999999981355,7.00000000000216,2025-03-24,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,149.387,149.404954,149.416046,149.369046,149.357954,149.75002357034975,149.60815,149.46627642965024,65.64516129032081,0.10785714285714423,53.59242837497652,149.62374509803922,UNCLASSIFIED,,,,,,
117,2025-03-25 00:20:00+00:00,2025-03-25 00:27:00+00:00,short,mean_reversion,morning_active,150.88299999999998,150.952,151.13299999999998,150.273,140.89299999999997,trailing_stop,-6.900000000001683,-218.8772589962906,478840,7.0,79339.71659177991,79120.83933278362,0.2999999999957481,7.1000000000026375,2025-03-25,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,150.273,150.800924,151.127076,149.74507599999998,149.418924,150.90753278493054,150.78265,150.65776721506944,65.2931854199677,0.07628571428571515,30.065608988890805,150.86580952380956,UNCLASSIFIED,,,,,,
118,2025-03-25 00:45:00+00:00,2025-03-25 00:51:00+00:00,short,mean_reversion,morning_active,150.86999999999998,150.92000000000002,151.11999999999998,150.273,140.87999999999997,trailing_stop,-5.000000000003979,-158.18910681168165,477478,6.0,79120.83933278362,78962.65022597194,1.9999999999953388,5.500000000003524,2025-03-25,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,150.273,150.800924,151.127076,149.74507599999998,149.418924,150.96405128290826,150.83155,150.69904871709173,61.23188405797073,0.08071428571428742,32.236314979436486,150.88889130434785,UNCLASSIFIED,,,,,,
119,2025-03-25 01:35:00+00:00,2025-03-25 02:00:00+00:00,short,breakout,morning_active,150.688,150.67100000000002,150.976,150.53585714285714,150.53585714285714,phase_lunch_close,1.6999999999967483,34.96129978555876,309862,25.0,78962.65022597194,78997.6115257575,7.899999999997931,2.1000000000015007,2025-03-25,TOKYO_DUAL_MODE_V11,breakout,tokyo,,,,,,,,,,,31.741999518746287,,TRENDING,,,150.946,150.775,150.81460665897544,-0.0012062726176115006
