trade_id,strategy,date,day_of_week,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,sl_price,tp1_price,tp2_price,sl_pips,pnl_pips,pnl_usd,exit_reason,asian_range_pips,impulse_range_pips,MAE_pips,MFE_pips,position_units,trade_duration_minutes,entry_hour_utc
23,ARB,2025-08-28,Thursday,short,2025-08-28 10:48:00+00:00,2025-08-28 12:00:00+00:00,146.91258540652578,146.9359754423665,147.31258540652578,146.51258540652577,146.11258540652577,40.0,-2.3390035840719747,-44.03063234899013,HARD_CLOSE,49.00000000000091,,5.6414593474215735,10.458540652578563,276600,72,10
24,LMP,2025-09-02,Tuesday,long,2025-09-02 08:31:00+00:00,2025-09-02 08:36:00+00:00,148.41476778126523,148.29476778126522,148.29476778126522,148.796,149.317592,12.0,-12.000000000000455,-753.5262482411155,SL_FULL,,84.39999999999941,12.676778126521526,2.3232218734762,931200,5,8
25,ARB,2025-09-03,Wednesday,long,2025-09-03 07:21:00+00:00,2025-09-03 07:48:00+00:00,149.08930660332808,148.68930660332808,148.68930660332808,149.4893066033281,149.8893066033281,40.0,-40.00000000000057,-749.2132591430629,SL_FULL,43.59999999999786,,40.73066033280952,4.869339667192207,278500,27,7
26,ARB,2025-09-04,Thursday,long,2025-09-04 07:23:00+00:00,2025-09-04 12:00:00+00:00,148.3693664366902,148.3380245576335,147.9693664366902,148.7693664366902,149.1693664366902,40.0,-3.1341879056697053,-58.12502191673323,HARD_CLOSE,49.39999999999998,,23.136643669019463,4.6633563309796955,275100,277,7
27,LMP,2025-09-04,Thursday,long,2025-09-04 08:43:00+00:00,2025-09-04 12:00:00+00:00,148.29477018635208,148.3380245576335,148.134,148.416,148.603872,16.077018635209583,4.3254371281420845,199.4789635487112,HARD_CLOSE,,30.400000000000205,12.477018635209447,9.92298136479235,684100,197,8
28,ARB,2025-09-09,Tuesday,short,2025-09-09 08:28:00+00:00,2025-09-09 12:00:00+00:00,146.69321082019565,146.7359754423665,147.09321082019565,146.29321082019564,145.89321082019563,40.0,-4.276462217086419,-79.35890692122771,HARD_CLOSE,61.69999999999902,,7.77891798043413,38.62108201956573,272300,212,8
29,ARB,2025-09-11,Thursday,long,2025-09-11 09:03:00+00:00,2025-09-11 12:00:00+00:00,147.87843715505392,147.9580245576335,147.4784371550539,148.27843715505392,148.67843715505393,40.0,7.958740257959108,147.54741821440146,HARD_CLOSE,46.999999999999886,,1.2437155053902416,11.456284494607871,274300,177,9
30,LMP,2025-09-16,Tuesday,long,2025-09-16 08:56:00+00:00,2025-09-16 09:00:00+00:00,146.97689920876002,146.98689920876,146.98689920876,146.994,147.180636,12.0,1.3550005595201708,83.91356106994157,BE_STOP,,30.19999999999925,2.3899208760013835,3.1100791239992986,910300,4,8
31,LMP,2025-09-18,Thursday,short,2025-09-18 09:38:00+00:00,2025-09-18 10:08:00+00:00,147.20842009556878,147.3284200955688,147.3284200955688,147.029,146.782418,12.0,-12.000000000000455,-743.237454993231,SL_FULL,,39.90000000000009,11.957990443121957,4.642009556877724,912500,30,9
32,ARB,2025-09-23,Tuesday,short,2025-09-23 09:01:00+00:00,2025-09-23 12:00:00+00:00,147.52156812532613,147.7739754423665,147.895,147.14813625065224,146.77470437597836,37.34318746738836,-25.240731704036534,-498.071283719887,HARD_CLOSE,26.500000000001478,,27.443187467386565,1.3568125326116842,291600,179,9
33,ARB,2025-09-24,Wednesday,long,2025-09-24 08:31:00+00:00,2025-09-24 12:00:00+00:00,148.190759452585,148.4960245576335,147.790759452585,148.59075945258502,148.99075945258502,40.0,30.526510504847693,559.3593184136236,HARD_CLOSE,59.30000000000177,,2.2759452585006557,33.024054741497366,272100,209,8
34,LMP,2025-09-30,Tuesday,short,2025-09-30 10:51:00+00:00,2025-09-30 12:00:00+00:00,148.00462291325272,147.9789754423665,148.12462291325272,147.854,147.651914,12.0,2.5647470886212886,157.9276745338672,HARD_CLOSE,,32.69999999999982,9.937708674729606,3.862291325270917,911200,69,10
35,LMP,2025-10-01,Wednesday,short,2025-10-01 09:09:00+00:00,2025-10-01 10:09:00+00:00,147.1315822214205,147.2515822214205,147.2515822214205,146.995,146.791678,12.0,-12.000000000000453,-739.3061477350143,SL_FULL,,32.90000000000077,11.541777857951274,5.958222142049863,907200,60,9
36,ARB,2025-10-02,Thursday,short,2025-10-02 08:50:00+00:00,2025-10-02 12:00:00+00:00,146.76516148183745,146.8039754423665,147.16516148183746,146.36516148183745,145.96516148183744,40.0,-3.8813960529040514,-71.22750548828704,HARD_CLOSE,48.799999999999955,,9.783851816254696,16.516148183745827,269400,190,8
37,ARB,2025-10-07,Tuesday,long,2025-10-07 08:46:00+00:00,2025-10-07 12:00:00+00:00,150.78279678052186,150.8900245576335,150.38279678052186,151.18279678052187,151.58279678052187,40.0,10.72277771116319,196.56172259252858,HARD_CLOSE,45.09999999999934,,7.4796780521865,16.920321947813477,276600,194,8
38,LMP,2025-10-08,Wednesday,long,2025-10-08 08:33:00+00:00,2025-10-08 08:57:00+00:00,152.45874747952428,152.713848,152.46874747952427,152.568,152.713848,12.0,18.21765204757355,1114.7521443842274,TP2_FULL,,23.60000000000184,0.8747479524288337,32.925252047573395,934200,24,8
39,ARB,2025-10-08,Wednesday,long,2025-10-08 08:58:00+00:00,2025-10-08 12:00:00+00:00,152.7759151202235,152.6860245576335,152.37591512022348,153.1759151202235,153.5759151202235,40.0,-8.989056258999994,-167.19879798772112,HARD_CLOSE,59.00000000000034,,13.191512022348206,22.70848797764984,284000,182,8
40,LMP,2025-10-09,Thursday,long,2025-10-09 08:31:00+00:00,2025-10-09 08:40:00+00:00,153.07875945258502,152.958759452585,152.958759452585,153.222,153.45066,12.0,-12.000000000000455,-743.0238085530157,SL_FULL,,37.000000000000455,12.475945258501042,2.3240547414985713,947100,9,8
41,LMP,2025-10-14,Tuesday,long,2025-10-14 08:36:00+00:00,2025-10-14 09:37:00+00:00,151.99674080060933,152.00674080060932,152.00674080060932,152.128,152.40918999999997,12.0,7.062310343477492,433.2947610344413,BE_STOP,,45.49999999999841,6.274080060933329,15.825919939067035,933300,61,8
42,LMP,2025-10-15,Wednesday,long,2025-10-15 08:36:00+00:00,2025-10-15 12:00:00+00:00,151.21874080060934,151.4920245576335,151.22874080060933,151.396,151.64999799999998,12.0,22.5276625873193,1387.320124667478,TP1_ONLY,,41.099999999997294,9.274080060933443,29.325919939066125,932700,204,8
43,LMP,2025-10-28,Tuesday,short,2025-10-28 09:34:00+00:00,2025-10-28 11:16:00+00:00,151.98826407200843,151.97826407200844,151.97826407200844,151.844,151.64747599999998,12.173592799157973,7.713203600421536,475.93964073254017,BE_STOP,,31.800000000001205,2.0735927991552217,16.426407200842164,937000,102,9
44,LMP,2025-10-29,Wednesday,long,2025-10-29 10:06:00+00:00,2025-10-29 11:50:00+00:00,152.2700219588617,152.15002195886169,152.15002195886169,152.47,152.730796,12.0,-12.000000000000455,-754.7024872007678,SL_FULL,,42.199999999999704,13.002195886170398,13.997804113830625,956900,104,10
45,LMP,2025-10-30,Thursday,long,2025-10-30 09:35:00+00:00,2025-10-30 12:00:00+00:00,153.65969670060895,154.1090245576335,153.66969670060894,153.89,154.19034799999997,12.0,33.981557820779074,2114.3234363429874,TP1_ONLY,,48.599999999999,3.7696700608933043,51.63032993910406,958400,145,9
46,LMP,2025-11-05,Wednesday,short,2025-11-05 09:36:00+00:00,2025-11-05 09:41:00+00:00,153.5243424652293,153.6443424652293,153.6443424652293,153.42,153.267972,12.0,-12.000000000000455,-763.6857831361954,SL_FULL,,24.600000000000932,11.765753477070007,0.03424652292949304,977800,5,9
47,ARB,2025-11-06,Thursday,short,2025-11-06 08:27:00+00:00,2025-11-06 13:00:00+00:00,153.68219775400064,153.62075331841723,154.08219775400065,153.28219775400063,152.88219775400063,40.0,6.144443558341095,116.55266715099081,HARD_CLOSE,36.7999999999995,,9.480224599934672,15.119775400063418,291400,273,8
48,LMP,2025-11-06,Thursday,short,2025-11-06 09:33:00+00:00,2025-11-06 13:00:00+00:00,153.6802249122732,153.62075331841723,153.8002249122732,153.531,153.320262,12.0,5.947159385596024,376.099271634926,HARD_CLOSE,,34.10000000000082,9.677508772679744,9.122491227319074,971500,207,9
49,LMP,2025-11-11,Tuesday,long,2025-11-11 09:37:00+00:00,2025-11-11 10:50:00+00:00,154.33361855978237,154.21361855978236,154.21361855978236,154.443,154.612332,12.0,-12.000000000000455,-762.812007776095,SL_FULL,,27.40000000000009,11.561855978237645,2.938144021763378,980300,73,9
51,LMP,2025-11-13,Thursday,short,2025-11-13 10:01:00+00:00,2025-11-13 10:50:00+00:00,154.53897900545354,154.65897900545355,154.65897900545355,154.356,154.09643999999997,12.0,-12.000000000000455,-755.9599885622015,SL_FULL,,42.00000000000159,11.302099454644576,5.497900545353218,974300,49,10
50,ARB,2025-11-13,Thursday,short,2025-11-13 08:58:00+00:00,2025-11-13 13:00:00+00:00,154.54708487977652,154.62175331841723,154.94708487977653,154.14708487977651,153.7470848797765,40.0,-7.466843864071392,-141.1546832594415,HARD_CLOSE,39.400000000000546,,21.891512022347115,22.408487977651248,292300,242,8
52,ARB,2025-11-19,Wednesday,long,2025-11-19 08:30:00+00:00,2025-11-19 13:00:00+00:00,155.67076778126523,156.23824668158278,155.68076778126522,156.07076778126523,156.47076778126524,40.0,48.37394501587795,903.8618931803549,TP1_ONLY,36.69999999999902,,11.376778126523845,62.52322187347659,291800,270,8
53,LMP,2025-11-20,Thursday,short,2025-11-20 10:28:00+00:00,2025-11-20 10:57:00+00:00,157.29465516331138,157.41465516331138,157.41465516331138,157.11,156.86898000000002,12.0,-12.000000000000455,-755.9906025048471,SL_FULL,,38.999999999998636,11.534483668862094,1.7655163311388833,991700,29,10
