trade_number,time,equity,drawdown_usd,drawdown_pct
227,2026-02-05 00:39:00+00:00,63832.64313545257,36384.296955566126,36.305535693388066
228,2026-02-06 00:16:00+00:00,63766.2462587766,36450.6938322421,36.37178884042655
229,2026-02-06 00:26:00+00:00,63669.298199867386,36547.64189115131,36.46852703540752
230,2026-02-09 00:20:00+00:00,63992.983509480364,36223.95658153833,36.14554240893718
231,2026-02-12 00:20:00+00:00,63765.99980106663,36450.940289952065,36.37203476462833
232,2026-02-13 00:16:00+00:00,63578.36510162227,36638.574989396424,36.5592632903386
233,2026-02-17 00:18:00+00:00,63198.54706608516,37018.39302493354,36.93825913195196
234,2026-02-17 00:37:00+00:00,63044.28139602106,37172.65869499763,37.09219086237996
235,2026-02-18 00:10:00+00:00,62918.1517422,37298.78834881869,37.21804748273427
236,2026-02-19 00:31:00+00:00,62265.965301872035,37950.97478914666,37.86882213194591
237,2026-02-20 00:50:00+00:00,62358.14080323538,37858.79928778332,37.77684616333259
238,2026-02-23 00:21:00+00:00,62550.011617004326,37666.92847401437,37.585390693234736
239,2026-02-23 00:26:00+00:00,62272.94283091831,37943.99726010038,37.861859707190234
240,2026-02-23 00:57:00+00:00,61831.60219383005,38385.33789718865,38.302244972084004
241,2026-02-24 00:48:00+00:00,61668.436616882114,38548.50347413658,38.46505734372471
242,2026-02-25 00:25:00+00:00,61836.24782435372,38380.69226666498,38.297609397979016
243,2026-02-27 00:13:00+00:00,61838.721256381476,38378.21883463722,38.29514132020144
244,2026-02-27 00:47:00+00:00,61693.635504487254,38523.30458653144,38.43991300427246
