trade_id,entry_datetime,exit_datetime,direction,mode,phase,entry_price,exit_price,sl_price,tp1_price,tp2_price,exit_reason,pips,usd,position_size_units,duration_minutes,equity_before,equity_after,mfe_pips,mae_pips,entry_session_day,entry_regime,entry_signal_mode,entry_session,pivot_P,pivot_R1,pivot_R2,pivot_S1,pivot_S2,bb_upper,bb_mid,bb_lower,rsi_m5,atr_m15,adx_m15,session_mean,day_type,news_event_id,news_move_pips,first_hour_high,first_hour_low,ema20_m5,roc10_m5
225,2025-12-16 00:35:00+00:00,2025-12-16 00:48:00+00:00,long,mean_reversion,morning_active,154.96800000000002,154.974,154.71800000000002,155.343,164.95800000000003,trailing_stop,0.5999999999971806,15.735878276282094,406442,13.0,65720.86221248566,65736.59809076194,7.099999999996953,5.200000000002092,2025-12-16,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,155.343,155.781918,156.053082,154.904082,154.632918,155.23231070697798,155.0063,154.78028929302204,36.786786786787644,0.07828571428571454,61.31772914185981,154.8821388888889,UNCLASSIFIED,,,,,,
226,2025-12-19 00:55:00+00:00,2025-12-19 01:04:00+00:00,short,mean_reversion,morning_active,155.707,155.764,155.957,155.608,145.71699999999998,trailing_stop,-5.700000000001637,-149.82425335768664,409425,9.0,65736.59809076194,65586.77383740425,0.699999999997658,7.900000000000773,2025-12-19,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,155.608,155.873108,156.03689200000002,155.342892,155.17910799999999,155.76163146392875,155.6391,155.51656853607128,68.55123674911565,0.06335714285714289,21.65222328566506,155.6838214285714,UNCLASSIFIED,,,,,,
227,2025-12-19 01:30:00+00:00,2025-12-19 02:00:00+00:00,short,mean_reversion,morning_active,155.766,155.733,156.016,155.70848351648343,145.77599999999998,phase_lunch_close,4.770987811107742,125.2060834393832,408647,30.0,65586.77383740425,65711.97992084363,5.899999999996908,2.800000000002001,2025-12-19,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,155.608,155.873108,156.03689200000002,155.342892,155.17910799999999,155.80958161752665,155.70425,155.59891838247336,62.91208791208796,0.07657142857142471,28.381154714747648,155.70848351648343,NEWS,,,,,,
228,2025-12-19 04:35:00+00:00,2025-12-19 05:01:00+00:00,long,news_reaction,afternoon_active,155.966,156.016,155.8495,156.109994,156.109994,trailing_stop,4.999999999998295,70.48379653366482,219932,26.0,65711.97992084363,65782.4637173773,11.599999999998545,3.8000000000010914,2025-12-19,TOKYO_DUAL_MODE_V11,news_reaction,tokyo,,,,,,,,,,,,,NEWS,boj_rate_decision,23.30000000000041,,,,
229,2025-12-19 05:10:00+00:00,2025-12-19 05:50:00+00:00,short,mean_reversion,afternoon_active,156.011,155.964,156.261,155.82607395498383,146.021,trailing_stop,4.699999999999704,61.85392141775918,205255,40.0,65782.4637173773,65844.31763879505,11.599999999998545,2.7000000000015234,2025-12-19,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,155.608,155.873108,156.03689200000002,155.342892,155.17910799999999,156.14496004525475,155.9898,155.83463995474526,73.12661498707864,0.1421428571428578,63.243715957084575,155.82607395498383,NEWS,,,,,,
230,2025-12-22 01:30:00+00:00,2025-12-22 01:45:00+00:00,long,mean_reversion,morning_active,157.404,157.356,157.154,157.5406483516484,167.394,trailing_stop,-4.800000000000182,-126.45954396401,414566,15.0,65844.31763879505,65717.85809483104,1.8000000000000682,6.30000000000166,2025-12-22,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,157.00366666666667,157.87615466666668,158.41517866666666,156.13117866666667,155.5921546666667,157.69543247006504,157.54590000000002,157.396367529935,30.916844349680872,0.11664285714285581,17.199220538979237,157.5406483516484,RANGING,,,,,,
231,2025-12-23 00:15:00+00:00,2025-12-23 00:31:00+00:00,long,mean_reversion,morning_active,156.79600000000002,156.75799999999998,156.54600000000002,157.15166666666667,166.78600000000003,trailing_stop,-3.8000000000039336,-99.91514308689965,412171,16.0,65717.85809483104,65617.94295174415,3.1999999999982265,5.200000000002092,2025-12-23,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,157.15166666666667,157.53710466666666,157.77522866666666,156.76622866666668,156.52810466666668,157.07962678782204,156.9163,156.75297321217798,17.229729729733975,0.06164285714285508,19.253920492282248,156.8018125,UNCLASSIFIED,,,,,,
232,2025-12-23 00:40:00+00:00,2025-12-23 00:55:00+00:00,long,mean_reversion,morning_active,156.76000000000002,156.694,156.51000000000002,157.15166666666667,166.75000000000003,trailing_stop,-6.600000000003092,-173.30401929884184,411450,15.0,65617.94295174415,65444.638932445305,0.1999999999981128,14.400000000003388,2025-12-23,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,157.15166666666667,157.53710466666666,157.77522866666666,156.76622866666668,156.52810466666668,156.9962194777865,156.8576,156.71898052221349,30.745341614909435,0.062071428571428555,23.27204647084383,156.79090243902442,UNCLASSIFIED,,,,,,
233,2025-12-26 00:15:00+00:00,2025-12-26 00:32:00+00:00,short,mean_reversion,morning_active,156.2,156.21800000000002,156.45,155.92999999999998,146.20999999999998,trailing_stop,-1.8000000000029104,-47.114698690367945,408898,17.0,65444.638932445305,65397.524233754935,5.999999999997385,5.200000000002092,2025-12-26,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,155.92999999999998,156.20809599999998,156.37990399999995,155.65190399999997,155.480096,156.243933582042,155.95705,155.67016641795803,89.04958677685963,0.08442857142856651,30.979667545859947,156.21462499999998,UNCLASSIFIED,,,,,,
234,2025-12-26 00:25:00+00:00,2025-12-26 00:33:00+00:00,short,mean_reversion,morning_active,156.142,156.227,156.392,155.92999999999998,146.152,trailing_stop,-8.500000000000796,-222.3905598904367,408746,8.0,65397.524233754935,65175.1336738645,0.0,8.800000000002228,2025-12-26,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,155.92999999999998,156.20809599999998,156.37990399999995,155.65190399999997,155.480096,156.30308526176046,155.98520000000002,155.66731473823958,77.72108843537387,0.08442857142856651,30.979667545859947,156.2114230769231,UNCLASSIFIED,,,,,,
235,2025-12-29 00:15:00+00:00,2025-12-29 00:25:00+00:00,long,mean_reversion,morning_active,156.126,156.164,155.876,156.3503333333333,166.116,trailing_stop,3.7999999999982492,99.04201992772262,407021,10.0,65175.1336738645,65274.17569379222,11.699999999999022,1.6000000000019554,2025-12-29,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,156.3503333333333,156.7239293333333,156.9547373333333,155.97673733333332,155.74592933333332,156.7054366576258,156.41725000000002,156.12906334237425,23.767383059416034,0.0906428571428555,20.78499903938177,156.1520625,UNCLASSIFIED,,,,,,
236,2025-12-31 04:10:00+00:00,2025-12-31 04:20:00+00:00,short,mean_reversion,afternoon_active,156.498,156.57600000000002,156.748,156.4390876494024,146.50799999999998,trailing_stop,-7.800000000003138,-203.55391630909475,408611,10.0,65274.17569379222,65070.621777483124,0.0,8.600000000001273,2025-12-31,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,156.24433333333334,156.55910133333336,156.75356533333334,155.92956533333333,155.73510133333335,156.51250570856666,156.47750000000002,156.44249429143338,58.87096774193031,0.05542857142857421,17.31015826919995,156.4390876494024,RANGING,,,,,,
237,2025-12-31 04:25:00+00:00,2025-12-31 04:50:00+00:00,short,mean_reversion,afternoon_active,156.527,156.598,156.777,156.44459774436092,146.53699999999998,trailing_stop,-7.1000000000026375,-184.7166119619072,407412,25.0,65070.621777483124,64885.90516552122,0.0,7.70000000000266,2025-12-31,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,156.24433333333334,156.55910133333336,156.75356533333334,155.92956533333333,155.73510133333335,156.54122778840636,156.4903,156.43937221159362,67.70186335403025,0.053857142857146253,17.76221312314782,156.44459774436092,RANGING,,,,,,
238,2026-01-02 04:25:00+00:00,2026-01-02 05:57:00+00:00,long,breakout,afternoon_active,156.806,156.906,156.514,156.906,156.906,tp,9.999999999999432,83.27597415012336,130665,92.0,64885.90516552122,64969.18113967134,13.09999999999718,2.600000000001046,2026-01-02,TOKYO_DUAL_MODE_V11,breakout,tokyo,,,,,,,,,,,37.97416267850908,,TRENDING,,,156.766,156.544,156.7193678285577,0.0006764863553978157
239,2026-01-05 00:00:00+00:00,2026-01-05 00:07:00+00:00,short,mean_reversion,morning_active,156.956,157.091,157.16554266666665,156.78766666666664,146.96599999999998,trailing_stop,-13.500000000001933,-418.21030485520754,486645,7.0,64969.18113967134,64550.97083481613,0.0,15.400000000002478,2026-01-05,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,156.78766666666664,156.97179066666664,157.08554266666664,156.60354266666664,156.48979066666664,156.99556217261915,156.82675,156.65793782738086,74.88584474885629,0.0767142857142805,33.94890769540506,156.964,UNCLASSIFIED,,,,,,
240,2026-01-05 00:20:00+00:00,2026-01-05 00:31:00+00:00,short,mean_reversion,morning_active,157.128,157.15800000000002,157.34966666666665,156.78766666666664,147.13799999999998,trailing_stop,-3.000000000002956,-87.3454739816842,457568,11.0,64550.97083481613,64463.62536083445,4.899999999997817,3.000000000002956,2026-01-05,TOKYO_DUAL_MODE_V11,mean_reversion,tokyo,156.78766666666664,156.97179066666664,157.08554266666664,156.60354266666664,156.48979066666664,157.1657570417938,156.8933,156.62084295820623,83.33333333333161,0.08728571428570879,34.44871842795458,157.08885714285717,UNCLASSIFIED,,,,,,
