cross_time,bars_narrowing_before_cross,mean_deceleration_pips_per_bar
2026-02-03 18:55:00+00:00,3,0.02709567268463313
2026-02-03 19:15:00+00:00,2,-0.17783565541265034
2026-02-03 21:05:00+00:00,0,-0.16433852428188328
2026-02-03 21:40:00+00:00,1,-0.02800666111137199
2026-02-03 23:00:00+00:00,9,-0.08353514671767927
2026-02-04 05:35:00+00:00,2,-0.07542592869583586
2026-02-04 06:00:00+00:00,0,-0.06122910942754819
2026-02-04 06:25:00+00:00,2,0.022701452512939743
2026-02-04 06:45:00+00:00,2,0.013590861394542719
2026-02-04 12:35:00+00:00,0,-0.40888973849907495
2026-02-04 13:40:00+00:00,5,-0.11095231900725366
2026-02-04 15:35:00+00:00,0,-0.3309016619448357
2026-02-04 17:05:00+00:00,6,-0.2018977222966593
2026-02-04 18:00:00+00:00,0,0.01753169247564303
2026-02-04 22:05:00+00:00,18,-0.24204475208146428
2026-02-04 23:50:00+00:00,0,-0.15595485005737447
2026-02-05 00:55:00+00:00,3,-0.06532751258779021
2026-02-05 01:30:00+00:00,2,-0.1618046304000605
2026-02-05 02:20:00+00:00,1,0.03744082771305558
2026-02-05 04:55:00+00:00,0,-0.1405396702324424
2026-02-05 11:30:00+00:00,4,-0.2641847415258288
2026-02-05 12:20:00+00:00,6,0.018109982689035558
2026-02-05 14:55:00+00:00,12,-1.209056141629598
2026-02-05 16:05:00+00:00,0,-0.05824271075179392
2026-02-05 18:00:00+00:00,0,-0.2786474101958447
2026-02-05 18:30:00+00:00,4,0.03177655081896901
2026-02-05 19:10:00+00:00,0,-0.037552739559624605
2026-02-05 19:35:00+00:00,0,-0.005372706364268097
2026-02-05 19:55:00+00:00,0,-0.028875334174927048
2026-02-05 23:10:00+00:00,2,-0.098271826693311
2026-02-06 02:15:00+00:00,5,-0.47670506604409485
2026-02-06 03:15:00+00:00,6,-0.07619941339925163
2026-02-06 05:45:00+00:00,0,-0.12156777055442566
2026-02-06 07:15:00+00:00,9,-0.41305396342503775
2026-02-06 10:45:00+00:00,0,-0.41179586802826407
2026-02-06 11:05:00+00:00,3,-0.1435893952945359
2026-02-06 13:40:00+00:00,0,-0.17739835006257937
2026-02-06 15:25:00+00:00,0,-0.381104932607741
2026-02-06 16:00:00+00:00,0,-0.07991952064365651
2026-02-08 23:55:00+00:00,7,-0.630635200384404
2026-02-09 02:40:00+00:00,0,-1.850567958481027
2026-02-09 04:20:00+00:00,0,-0.22071005716355785
2026-02-09 07:55:00+00:00,3,-0.3061774214934113
2026-02-09 09:25:00+00:00,0,-0.5631489081048359
2026-02-09 09:55:00+00:00,0,-0.08535084646019812
2026-02-09 11:25:00+00:00,5,-0.09696136474891166
2026-02-09 16:10:00+00:00,0,-0.8958499956528007
2026-02-09 18:05:00+00:00,6,-0.5626978462306435
2026-02-09 21:00:00+00:00,13,-0.5992533415446626
2026-02-10 01:05:00+00:00,5,-0.5785378141835433
2026-02-10 06:05:00+00:00,0,-0.40770078575680674
2026-02-10 09:10:00+00:00,14,-0.4480373192718427
2026-02-10 11:45:00+00:00,11,-0.7805740234890852
2026-02-10 12:10:00+00:00,2,-0.07130249763712805
