trade_id,strategy,entry_datetime,exit_datetime,direction,phase,entry_price,exit_price,sl_price,tp1_price,tp2_price,exit_reason,pips,usd,position_size_units,duration_minutes,equity_before,equity_after,mfe_pips,mae_pips,session_day,strategy_tag,risk_pct,asian_high,asian_low,asian_mid,asian_width_pips,asian_bucket,adx_m15,ema20_m5,roc10_m5,sl_pips,R,pivot_P,pivot_R1,pivot_S1,bb_upper,bb_lower,rsi_m5,combo
42,strat_a_meanrev,2025-03-06 19:33:00+00:00,2025-03-06 19:55:00+00:00,long,strat_a_window,147.656,147.76,147.67600000000002,147.806,157.64600000000002,partial_tp_then_be,12.699999999999534,859.3439265905246,1000000,22.0,95859.04291820202,96718.38684479253,19.599999999999795,9.200000000001296,2025-03-06,strat_a_meanrev,0.0075,,,,,,30.888713489899146,,,2.000000000001023,6.349999999996518,149.158,149.84330799999998,148.472692,147.97850153702493,147.62069846297507,27.71474878444336,ABCDE
43,strat_a_meanrev,2025-03-13 16:56:00+00:00,2025-03-13 17:15:00+00:00,long,strat_a_window,147.598,147.49800000000002,147.49800000000002,147.65800000000002,157.58800000000002,sl_hit,-9.999999999999432,-677.9752945802269,1000000,19.0,96718.38684479253,96040.4115502123,3.8999999999987267,10.400000000001342,2025-03-13,strat_a_meanrev,0.0075,,,,,,31.646063173141666,,,9.999999999999432,-1.0,148.38433333333333,148.94472733333333,147.82393933333333,147.89744824696984,147.54945175303018,23.091603053435605,ABCDE
44,strat_a_meanrev,2025-03-14 17:46:00+00:00,2025-03-14 18:33:00+00:00,short,strat_a_window,148.458,148.558,148.558,148.3589610389611,138.468,sl_hit,-9.999999999999432,-673.1377643748187,1000000,47.0,96040.4115502123,95367.27378583749,2.400000000000091,10.80000000000041,2025-03-14,strat_a_meanrev,0.0075,,,,,,10.579240358430521,,,9.999999999999432,-1.0,147.84966666666665,148.21638666666666,147.48294666666663,148.45221222824145,148.25368777175854,70.12578616352083,ABCDE
45,strat_a_meanrev,2025-03-14 20:03:00+00:00,2025-03-16 21:04:00+00:00,short,strat_a_window,148.63199999999998,148.73199999999997,148.73199999999997,148.48199999999997,138.64199999999997,sl_hit,-9.999999999999432,-672.3502675953686,1000000,2941.0,95367.27378583749,94694.92351824213,5.999999999997385,12.60000000000332,2025-03-14,strat_a_meanrev,0.0075,,,,,,26.611016730246103,,,9.999999999999432,-1.0,147.84966666666665,148.21638666666666,147.48294666666663,148.63860821380217,148.48429178619784,69.08212560386295,ABCE
46,strat_b_breakout,2025-03-18 01:00:00+00:00,2025-03-18 01:30:00+00:00,long,strat_b_window,149.46300000000002,149.44799999999998,149.269064,149.59939285714287,159.45300000000003,time_exit_30min,-1.50000000000432,-25.637144692542126,255428,30.0,94694.92351824213,94669.28637354958,1.999999999998181,10.800000000003251,2025-03-18,strat_b_breakout,0.0034999999999999996,149.402,149.054,149.228,34.79999999999848,wide_30_40,38.11342250987593,149.3680535696711,0.00038153121193065754,19.39360000000363,-0.07734510353952022,,,,,,,
47,strat_b_breakout,2025-03-27 01:40:00+00:00,2025-03-27 02:00:00+00:00,short,strat_b_window,150.16,150.162,150.409476,149.94046428571428,140.17,session_close,-0.20000000000095497,-2.6562645676130083,199435,20.0,94669.28637354958,94666.63010898196,6.399999999999295,6.200000000001182,2025-03-27,strat_b_breakout,0.0034999999999999996,150.606,150.288,150.447,31.799999999998363,wide_30_40,36.981383603710505,150.34774324878495,-0.0018942792765846914,24.947600000001557,-0.008016803219585951,,,,,,,
48,strat_b_breakout,2025-03-28 00:40:00+00:00,2025-03-28 00:57:00+00:00,long,strat_b_window,151.202,150.983918,150.983918,151.32414285714285,161.192,sl_hit,-21.808200000000966,-331.81171788112044,229722,17.0,94666.63010898196,94334.81839110084,0.0,25.600000000000023,2025-03-28,strat_b_breakout,0.0034999999999999996,151.118,150.767,150.9425,35.09999999999991,wide_30_40,27.57749423382595,151.0154970357636,0.002227260072385848,21.808200000000966,-1.0,,,,,,,
49,strat_a_meanrev,2025-03-28 20:11:00+00:00,2025-03-28 20:56:00+00:00,long,strat_a_window,149.71800000000002,149.79799999999997,149.73800000000003,149.86800000000002,159.70800000000003,partial_tp_then_be,11.499999999998067,767.466649573778,1000000,45.0,94334.81839110084,95102.28504067461,16.59999999999684,4.200000000003001,2025-03-28,strat_a_meanrev,0.0075,,,,,,34.451698359548395,,,2.000000000001023,5.749999999996092,150.75833333333333,151.17738733333331,150.33927933333334,150.0666460122536,149.7199539877464,10.69182389936904,ABCDE
50,strat_b_breakout,2025-04-01 01:05:00+00:00,2025-04-01 02:00:00+00:00,short,strat_b_window,149.70399999999998,149.846,149.951274,149.5203571428571,139.71399999999997,session_close,-14.200000000002433,-190.9664322037619,201518,55.0,95102.28504067461,94911.31860847086,4.2999999999977945,21.800000000001774,2025-04-01,strat_b_breakout,0.0034999999999999996,150.141,149.834,149.9875,30.699999999998795,wide_30_40,34.937659718947494,149.86990770054828,-0.000840908180835334,24.727400000003286,-0.574261750123367,,,,,,,
51,strat_a_meanrev,2025-04-03 20:50:00+00:00,2025-04-03 21:40:00+00:00,long,strat_a_window,146.091,145.991,145.991,146.23401149425285,156.08100000000002,sl_hit,-9.999999999999432,-684.9737312573674,1000000,50.0,94911.31860847086,94226.34487721349,1.2999999999976808,13.2000000000005,2025-04-03,strat_a_meanrev,0.0075,,,,,,30.170817971610823,,,9.999999999999432,-1.0,149.29566666666668,149.98212066666667,148.60921266666668,146.49742046128122,146.0962795387188,30.915371329879036,ABCE
52,strat_b_breakout,2025-04-16 00:20:00+00:00,2025-04-16 02:00:00+00:00,short,strat_b_window,142.864,142.79000000000002,143.05643,142.6672857142857,132.874,session_close,7.399999999998386,126.88882974995481,244844,100.0,94226.34487721349,94353.23370696344,15.000000000000568,14.000000000001478,2025-04-16,strat_b_breakout,0.0034999999999999996,143.282,142.917,143.0995,36.50000000000091,wide_30_40,30.251512817253406,143.06503698067957,-0.0017746600897110983,19.243000000000166,0.3845554227510431,,,,,,,
53,strat_a_meanrev,2025-04-16 17:41:00+00:00,2025-04-16 18:04:00+00:00,long,strat_a_window,142.369,142.269,142.269,142.519,152.359,sl_hit,-9.999999999999432,-702.8938138315045,1000000,23.0,94353.23370696344,93650.33989313194,7.299999999997908,12.90000000000191,2025-04-16,strat_a_meanrev,0.0075,,,,,,20.481046447065523,,,9.999999999999432,-1.0,143.13133333333334,143.51218733333334,142.75047933333335,142.7051326582224,142.42316734177757,34.398976982096286,ABCE
54,strat_b_breakout,2025-04-22 00:20:00+00:00,2025-04-22 00:59:00+00:00,long,strat_b_window,141.062,140.854704,140.854704,141.22978571428573,151.05200000000002,sl_hit,-20.72960000000137,-328.25847912046345,223047,39.0,93650.33989313194,93322.08141401148,10.3999999999985,22.20000000000084,2025-04-22,strat_b_breakout,0.0034999999999999996,140.98,140.652,140.81599999999997,32.800000000000296,wide_30_40,24.102201689801053,140.87952899412403,0.00254449309148806,20.72960000000137,-1.0,,,,,,,
55,strat_b_breakout,2025-04-25 00:45:00+00:00,2025-04-25 02:00:00+00:00,long,strat_b_window,143.01000000000002,142.95999999999998,142.77567200000001,143.17050000000003,153.00000000000003,session_close,-5.000000000003979,-69.71880246228268,199340,75.0,93322.08141401148,93252.3626115492,9.799999999998477,10.800000000003251,2025-04-25,strat_b_breakout,0.0034999999999999996,142.93,142.526,142.728,40.399999999999636,over_40,43.440738562595165,142.92355699515127,0.0011481538526163604,23.432800000000498,-0.21337612235856887,,,,,,,
56,strat_a_meanrev,2025-04-30 18:24:00+00:00,2025-04-30 19:35:00+00:00,short,strat_a_window,142.917,142.812,142.897,142.767,132.927,partial_tp_then_be,12.749997748989069,892.5465596646127,999551,71.0,93252.3626115492,94144.9091712138,19.299999999998363,4.900000000000659,2025-04-30,strat_a_meanrev,0.0075,,,,,,18.884040678440392,,,2.000000000001023,6.374998874491273,142.34533333333334,142.64902333333333,142.04164333333335,142.91848452947863,142.5565154705214,74.87684729064097,ABCDE
57,strat_a_meanrev,2025-04-30 20:14:00+00:00,2025-04-30 20:31:00+00:00,short,strat_a_window,143.052,143.152,143.152,142.902,133.06199999999998,sl_hit,-9.999999999999432,-698.5581759248514,1000000,17.0,94144.9091712138,93446.35099528896,3.7999999999982492,12.100000000000932,2025-04-30,strat_a_meanrev,0.0075,,,,,,20.806526988205626,,,9.999999999999432,-1.0,142.34533333333334,142.64902333333333,142.04164333333335,143.02513766732596,142.68296233267404,84.30851063829355,ABCDE
58,strat_a_meanrev,2025-05-06 18:48:00+00:00,2025-05-06 19:28:00+00:00,long,strat_a_window,142.495,142.395,142.395,142.60228776978417,152.485,sl_hit,-9.999999999999432,-701.3392324168286,998672,40.0,93446.35099528896,92745.01176287213,0.0,11.800000000002342,2025-05-06,strat_a_meanrev,0.0075,,,,,,12.008319769933408,,,9.999999999999432,-1.0,144.085,144.640428,143.529572,142.64106183111812,142.47623816888188,30.422535211267203,ABCE
59,strat_a_meanrev,2025-05-06 18:58:00+00:00,2025-05-06 19:44:00+00:00,long,strat_a_window,142.466,142.366,142.366,142.59257046979863,152.45600000000002,sl_hit,-9.999999999999432,-701.3395052189028,998469,46.0,92745.01176287213,92043.67225765323,0.39999999999906777,11.600000000001387,2025-05-06,strat_a_meanrev,0.0075,,,,,,12.008319769933408,,,9.999999999999432,-1.0,144.085,144.640428,143.529572,142.6523365946408,142.44496340535923,34.50292397660829,ABCE
60,strat_b_breakout,2025-05-13 00:35:00+00:00,2025-05-13 01:01:00+00:00,short,strat_b_window,148.064,147.906,148.302398,147.88967857142856,138.07399999999998,partial_tp_then_trail,16.779282288184945,324.28494936273785,285831,26.0,92043.67225765323,92367.95720701598,26.29999999999768,2.200000000001978,2025-05-13,strat_b_breakout,0.005,148.481,148.192,148.3365,28.899999999998727,normal_12_30,30.676897772927592,148.22321852300715,-0.0010456934296720647,23.839800000001787,0.7038348596961252,,,,,,,
61,strat_a_meanrev,2025-05-15 19:56:00+00:00,2025-05-15 21:40:00+00:00,long,strat_a_window,145.58,145.62499999999997,145.60000000000002,145.66563285024165,155.57000000000002,partial_tp_then_be,6.531642512079827,448.44279243892436,1000000,104.0,92367.95720701598,92816.39999945491,15.599999999997749,4.400000000001114,2025-05-15,strat_a_meanrev,0.0075,,,,,,23.23394731083682,,,2.000000000001023,3.265821256038243,146.63633333333334,147.42516333333333,145.84750333333335,145.74493556713742,145.55856443286262,29.816513761463042,ABCD
62,strat_b_breakout,2025-05-16 00:20:00+00:00,2025-05-16 00:58:00+00:00,short,strat_b_window,145.332,145.132,145.548712,145.17214285714286,135.34199999999998,partial_tp_then_trail,17.59143962722333,264.02329422261755,217856,38.0,92816.39999945491,93080.42329367752,32.19999999999743,3.8000000000010914,2025-05-16,strat_b_breakout,0.0034999999999999996,145.744,145.428,145.586,31.60000000000025,wide_30_40,20.37335586152912,145.4873046380072,-0.0013330218368215565,21.671200000000113,0.8117427566181494,,,,,,,
63,strat_a_meanrev,2025-05-20 17:54:00+00:00,2025-05-20 18:12:00+00:00,long,strat_a_window,144.674,144.574,144.574,144.78602352941175,154.66400000000002,sl_hit,-9.999999999999432,-691.6873020044706,1000000,18.0,93080.42329367752,92388.73599167305,1.4999999999986358,10.400000000001342,2025-05-20,strat_a_meanrev,0.0075,,,,,,8.667425997481986,,,9.999999999999432,-1.0,145.00733333333332,145.31904533333332,144.69562133333332,144.91571110930832,144.6521888906917,25.484764542934727,ABCD
64,strat_a_meanrev,2025-05-20 19:29:00+00:00,2025-05-20 22:00:00+00:00,long,strat_a_window,144.47500000000002,144.48399999999998,144.37500000000003,144.62500000000003,154.46500000000003,session_close,0.8999999999957708,62.290634256787676,1000000,151.0,92388.73599167305,92451.02662592984,12.799999999995748,5.1000000000044565,2025-05-20,strat_a_meanrev,0.0075,,,,,,10.012625888866863,,,9.999999999999432,0.0899999999995822,145.00733333333332,145.31904533333332,144.69562133333332,144.68218734298935,144.45781265701063,28.99159663865065,ABCDE
65,strat_a_meanrev,2025-05-20 21:56:00+00:00,2025-05-20 22:00:00+00:00,long,strat_a_window,144.482,144.48399999999998,144.382,144.5986730158731,154.472,session_close,0.1999999999981128,13.842363168109467,1000000,4.0,92451.02662592984,92464.86898909794,0.39999999999906777,2.400000000000091,2025-05-20,strat_a_meanrev,0.0075,,,,,,33.97888797309259,,,9.999999999999432,0.019999999999812418,145.00733333333332,145.31904533333332,144.69562133333332,144.59266094994803,144.44493905005197,32.95454545454717,ABCE
66,strat_a_meanrev,2025-05-21 17:12:00+00:00,2025-05-21 17:20:00+00:00,long,strat_a_window,143.596,143.496,143.496,143.67704651162788,153.586,sl_hit,-9.999999999999432,-693.9691698722914,995818,8.0,92464.86898909794,91770.89981922565,2.7999999999991587,12.20000000000141,2025-05-21,strat_a_meanrev,0.0075,,,,,,10.611173921427648,,,9.999999999999432,-1.0,144.69933333333333,145.24253733333333,144.15612933333333,143.75354882741817,143.59785117258184,34.69387755102251,ABCE
67,strat_b_breakout,2025-05-23 01:50:00+00:00,2025-05-23 02:00:00+00:00,short,strat_b_window,143.654,143.59400000000002,143.893408,143.45653571428574,133.664,session_close,5.999999999997386,80.53163781212974,192731,10.0,91770.89981922565,91851.43145703779,6.299999999998818,2.400000000000091,2025-05-23,strat_b_breakout,0.0034999999999999996,144.106,143.762,143.934,34.39999999999941,wide_30_40,25.623426749983533,143.8017120266683,-0.0015012719109243928,23.94079999999974,0.25061819153902337,,,,,,,
