trade_id,entry_datetime,exit_datetime,direction,entry_type,entry_price,exit_price,sl_price,tp1_price,tp2_price,exit_reason,pips,pnl_usd,usd,position_units,entry_level_name,entry_level_tier,entry_level_price,zone_distance_at_entry_pips,confirmation_signals_present,confluence_count,ib_classification,session_phase_at_entry,rsi_at_entry,vwap_at_entry,breakout_candle_body_pct,mfe_pips,mae_pips,time_to_mfe_minutes,trade_duration_minutes,day_of_week,hour_utc,partial_close_executed,structural_stop_triggered,duration_min,is_win,month,dow,equity_after,drawdown_usd,drawdown_pct
25,2025-07-09 03:30:00+00:00,2025-07-09 04:40:00+00:00,long,1,147.13294148196275,147.05294148196273,147.05294148196273,147.18294148196276,147.19294148196275,SL_Hit_PipBased,-8.00000000000125,-272.01087987017644,-272.01087987017644,500000,IB_High,1,146.913,21.299999999999386,"VWAP_support,PTS_alignment",2,normal,Afternoon_Trading,66.58354114713177,146.91073143759874,0.666666666666864,1.8105113355545654,8.819136692426355,10.0,70.0,Wednesday,3,n,n,70.0,False,2025-07,Wednesday,98125.80841483355,1725.8326892824261,1.7283969198692377
27,2025-07-09 04:00:00+00:00,2025-07-09 04:58:00+00:00,long,1,147.12067158971797,147.04067158971796,147.04067158971796,147.17067158971798,147.1845,SL_Hit_PipBased,-8.00000000000125,-272.03357797233645,-272.03357797233645,500000,IB_High,1,146.913,20.09999999999934,"VWAP_support,PTS_alignment",2,normal,Afternoon_Trading,66.0049627791567,146.9351134163209,0.7142857142857143,2.075626182474366,9.853511458609887,11.0,58.0,Wednesday,4,n,n,58.0,False,2025-07,Wednesday,97853.77483686121,1997.8662672547653,2.00083468349967
26,2025-07-09 03:45:00+00:00,2025-07-09 05:08:00+00:00,long,1,147.10090731185366,147.02090731185365,147.02090731185365,147.15090731185367,147.1845,SL_Hit_PipBased,-8.00000000000125,-272.0701479222964,-272.0701479222964,500000,IB_High,1,146.913,18.099999999998317,"VWAP_support,PTS_alignment",2,normal,Afternoon_Trading,66.08910891089067,146.9243097345133,0.5531914893619595,4.052053968905511,8.391352574221855,26.0,83.0,Wednesday,3,n,n,83.0,False,2025-07,Wednesday,97581.70468893892,2269.936415177057,2.2733090714154405
28,2025-07-09 05:55:00+00:00,2025-07-09 06:04:00+00:00,long,2,146.97196772384078,146.99582360590344,146.91196772384077,147.0519677238408,,Trailing_Stop,2.3855882062662204,81.1447613866226,81.1447613866226,500000,IB_High_Retest,1,146.913,5.099999999998772,PTS_alignment,0,normal,Afternoon_Trading,57.046979865772045,146.971781835206,0.6428571428568045,5.4855882062668115,1.8958056360162345,8.0,9.0,Wednesday,5,n,n,9.0,True,2025-07,Wednesday,97662.84945032554,2188.7916537904384,2.1920437456888373
31,2025-07-18 04:35:00+00:00,2025-07-18 04:55:00+00:00,long,1,148.705878072355,148.625878072355,148.625878072355,148.905878072355,149.0645,SL_Hit_PipBased,-8.00000000000125,-269.13213579490645,-269.13213579490645,500000,IB_High,1,148.625,7.400000000001228,"VWAP_support,PTS_alignment",2,wide,Afternoon_Trading,58.69242199108458,148.53467632850243,0.5277777777779094,0.0,8.332391355511959,,20.0,Friday,4,n,n,20.0,False,2025-07,Friday,97393.71731453063,2457.923789585344,2.461575756198589
30,2025-07-18 04:05:00+00:00,2025-07-18 04:56:00+00:00,long,1,148.69905370856748,148.61905370856746,148.61905370856746,148.89905370856746,149.0645,SL_Hit_PipBased,-8.00000000000125,-269.1444939384671,-269.1444939384671,500000,IB_High,1,148.625,6.700000000000728,"VWAP_support,RSI_momentum,PTS_alignment",3,wide,Afternoon_Trading,57.40291262135747,148.51652710027102,0.6046511627912511,1.8936005886274643,8.853917448908533,4.0,51.0,Friday,4,n,n,51.0,False,2025-07,Friday,97124.57282059216,2727.0682835238113,2.7311201432135492
29,2025-07-18 04:00:00+00:00,2025-07-18 05:25:00+00:00,long,1,148.67308783779742,148.70770401274078,148.5930878377974,148.8730878377974,149.0645,Trailing_Stop,3.4616174943352007,116.38998521685942,116.38998521685942,500000,IB_High,1,148.625,4.099999999999682,"VWAP_support,RSI_momentum,PTS_alignment",3,wide,Afternoon_Trading,57.40291262135747,148.51304840940526,0.47619047619034727,5.461617494336224,6.257330371903436,85.0,85.0,Friday,4,n,n,85.0,True,2025-07,Friday,97240.96280580902,2610.678298306957,2.6145572265405086
32,2025-07-18 06:00:00+00:00,2025-07-18 06:40:00+00:00,long,1,148.76998595441574,148.7843456683722,148.68998595441573,148.918,149.0645,Trailing_Stop,1.435971395645197,48.25680380534981,48.25680380534981,500000,IB_High,1,148.625,13.599999999999568,"VWAP_support,RSI_momentum,PTS_alignment",3,wide,Afternoon_Trading,85.38622129436003,148.57821144967681,0.45714285714264835,5.935971395643946,6.517287328230736,40.0,40.0,Friday,6,n,n,40.0,True,2025-07,Friday,97289.21960961436,2562.421494501614,2.5662287231010654
33,2025-07-24 01:10:00+00:00,2025-07-24 01:12:00+00:00,short,1,146.1773342120547,146.17473237975497,146.2573342120547,146.044,145.93200000000002,Trailing_Stop,0.26018322997174437,8.899733412741975,8.899733412741975,500000,IB_Low,1,146.268,8.199999999999363,"VWAP_support,PTS_alignment",2,wide,Active_Trading,46.39804639804676,146.37169483568076,0.4901960784311868,5.060183229971926,3.1364575854240684,2.0,2.0,Thursday,1,n,n,2.0,True,2025-07,Thursday,97298.11934302711,2553.521761088865,2.5573157665243484
34,2025-07-24 01:15:00+00:00,2025-07-24 01:20:00+00:00,short,1,146.03616455708928,146.1161645570893,146.1161645570893,145.98616455708927,145.93200000000002,SL_Hit_PipBased,-8.00000000000125,-273.75479038376886,-273.75479038376886,500000,IB_Low,1,146.268,22.30000000000132,"VWAP_support,RSI_momentum,PTS_alignment",3,wide,Active_Trading,33.129904097646715,146.354899122807,0.8103448275864209,0.0,8.684264719931889,,5.0,Thursday,1,n,n,5.0,False,2025-07,Thursday,97024.36455264334,2827.2765514726343,2.83147729993202
35,2025-07-24 01:20:00+00:00,2025-07-24 01:23:00+00:00,short,4,146.1019927957114,146.1819927957114,146.1819927957114,146.044,145.93200000000002,SL_Hit_PipBased,-8.00000000000125,-273.6315139437595,-273.6315139437595,500000,PTS_Low_Breakout,1,146.198,8.70000000000175,"VWAP_support,RSI_momentum,PTS_alignment",0,wide,Active_Trading,33.129904097646715,146.33717283950617,0.8374999999996048,0.0,8.51120265412817,,3.0,Thursday,1,n,n,3.0,False,2025-07,Thursday,96750.73303869957,3100.908065416399,3.105515373736383
36,2025-07-24 02:00:00+00:00,2025-07-24 02:03:00+00:00,short,4,145.95463519710626,146.03463519710627,146.03463519710627,145.90463519710624,145.89463519710625,SL_Hit_PipBased,-8.00000000000125,-273.90762435238287,-273.90762435238287,500000,PTS_Low_Breakout,1,146.198,23.60000000000184,"VWAP_support,PTS_alignment",0,wide,Active_Trading,29.482758620690134,146.21039669421486,0.520833333333136,0.0,9.470283194676199,,3.0,Thursday,2,n,n,3.0,False,2025-07,Thursday,96476.82541434719,3374.8156897687877,3.3798299681923556
38,2025-07-24 02:25:00+00:00,2025-07-24 02:33:00+00:00,short,1,146.0085481518217,146.08854815182173,146.08854815182173,145.9585481518217,145.93200000000002,SL_Hit_PipBased,-8.00000000000125,-273.8065406635192,-273.8065406635192,500000,IB_Low,1,146.268,25.200000000000955,"VWAP_support,PTS_alignment",2,wide,Active_Trading,30.2642796248942,146.18193378995434,0.4590163934431118,0.29944901583291994,9.712877590820312,4.0,8.0,Thursday,2,n,n,8.0,False,2025-07,Thursday,96203.01887368367,3648.622230432302,3.6540433287699887
37,2025-07-24 02:20:00+00:00,2025-07-24 02:39:00+00:00,short,1,146.03663962348736,146.11663962348737,146.11663962348737,145.98663962348735,145.93200000000002,SL_Hit_PipBased,-8.00000000000125,-273.7539003297506,-273.7539003297506,500000,IB_Low,1,146.268,22.399999999998954,"VWAP_support,PTS_alignment",2,wide,Active_Trading,30.2642796248942,146.18651063829788,0.5526315789474373,3.108596182397605,9.924964132181913,9.0,19.0,Thursday,2,n,n,19.0,False,2025-07,Thursday,95929.26497335391,3922.376130762059,3.9282039708012118
