trade_id,entry_datetime,exit_datetime,equity_after
111,2025-08-28 04:20:00+00:00,2025-08-28 05:21:00+00:00,91282.01968084516
112,2025-08-29 01:30:00+00:00,2025-08-29 01:35:00+00:00,91009.93097887213
114,2025-08-29 04:20:00+00:00,2025-08-29 04:26:00+00:00,90805.8029304226
113,2025-08-29 04:00:00+00:00,2025-08-29 04:35:00+00:00,90601.66148930266
116,2025-08-29 04:55:00+00:00,2025-08-29 05:41:00+00:00,90397.94708387283
115,2025-08-29 04:45:00+00:00,2025-08-29 06:00:00+00:00,90194.2322899083
117,2025-08-29 06:10:00+00:00,2025-08-29 06:20:00+00:00,89921.0027411745
118,2025-08-29 07:20:00+00:00,2025-08-29 07:30:00+00:00,89786.06633111599
119,2025-09-01 01:15:00+00:00,2025-09-01 01:35:00+00:00,89849.85476079567
120,2025-09-01 01:20:00+00:00,2025-09-01 01:48:00+00:00,89578.24237064946
121,2025-09-01 01:35:00+00:00,2025-09-01 01:48:00+00:00,89306.62780228088
122,2025-09-01 01:40:00+00:00,2025-09-01 01:48:00+00:00,89035.06275631863
123,2025-09-01 03:30:00+00:00,2025-09-01 03:38:00+00:00,89268.89079035787
124,2025-09-01 03:35:00+00:00,2025-09-01 04:34:00+00:00,88935.23693497264
125,2025-09-02 01:35:00+00:00,2025-09-02 01:42:00+00:00,88910.43071134556
126,2025-09-02 01:40:00+00:00,2025-09-02 01:42:00+00:00,88643.48029912969
128,2025-09-03 01:25:00+00:00,2025-09-03 01:30:00+00:00,88377.40719807876
127,2025-09-03 01:20:00+00:00,2025-09-03 01:58:00+00:00,88438.51472405641
130,2025-09-03 01:50:00+00:00,2025-09-03 02:05:00+00:00,88173.24017613138
129,2025-09-03 01:45:00+00:00,2025-09-03 02:07:00+00:00,87907.9658412988
131,2025-09-03 02:25:00+00:00,2025-09-03 02:34:00+00:00,87869.52880229657
132,2025-09-03 03:30:00+00:00,2025-09-03 04:12:00+00:00,87600.76585932396
133,2025-09-03 03:40:00+00:00,2025-09-03 04:12:00+00:00,87331.98505007438
134,2025-09-03 04:30:00+00:00,2025-09-03 04:48:00+00:00,87500.28871491551
135,2025-09-08 01:40:00+00:00,2025-09-08 01:55:00+00:00,87691.1898869275
136,2025-09-08 01:55:00+00:00,2025-09-08 02:05:00+00:00,87752.03262867658
